match_id;player_id;team;opponent;player;position;shirt_number;totalPass;accuratePass;totalLongBalls;accurateLongBalls;goalAssist;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;saves;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;duelLost;duelWon;challengeLost;dispossessed;totalContest;bigChanceCreated;shotOffTarget;blockedScoringAttempt;totalClearance;interceptionWon;totalTackle;wonTackle;unsuccessfulTouch;expectedGoals;keyPass;shotValueNormalized;aerialWon;onTargetScoringAttempt;outfielderBlock;wasFouled;fouls;expectedGoalsOnTarget;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;bigChanceMissed;wonContest;errorLeadToAShot;hitWoodwork;accurateCross;goals;totalOffside;goodHighClaim;totalKeeperSweeper;accurateKeeperSweeper;lastManTackle;errorLeadToAGoal
14083269;1131909;Mallorca;Barcelona;Leo Román;G;1;24.0;10.0;18.0;5.0;0.0;5.0;8.0;5.0;16.0;9.0;2.0;4.0;90.0;33.0;6.7;14.0;0.00105015;44.55007558762;6.0;12.040671615594;0.6563;0;-0.5052;0.01;-0.02;-0.24;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;788216;Mallorca;Barcelona;Pablo Maffeo;D;23;19.0;15.0;5.0;3.0;0.0;7.0;8.0;8.0;11.0;1.0;0.0;0.0;90.0;36.0;6.4;4.0;0.101683;27.177695251806;6.0;-3.0811475526688;0.0;1;0.0;0.23;-0.03;-0.31;0.0;1.0;1.0;3.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;4.0;3.0;0.0;0.0301;1.0;-0.13;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1513896;Mallorca;Barcelona;David López;D;27;17.0;14.0;4.0;2.0;0.0;6.0;7.0;8.0;10.0;0.0;0.0;0.0;90.0;40.0;6.9;3.0;0.00273296;26.756773773816;3.0;-5.8371764693351;0.0;0;0.0;0.0;0.0;0.45;0.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;300522;Mallorca;Barcelona;Martin Valjent;D;24;21.0;19.0;3.0;2.0;0.0;16.0;16.0;3.0;5.0;2.0;0.0;0.0;90.0;33.0;5.9;3.0;0.00228199;46.6922260992;5.0;32.399847112288;0.0;0;0.0;0.05;0.01;-0.48;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;344847;Mallorca;Barcelona;Johan Mojica;D;22;21.0;13.0;7.0;1.0;0.0;7.0;9.0;6.0;12.0;2.0;0.0;0.0;90.0;41.0;5.9;12.0;0.0151019;68.79956584927;9.0;15.465042733016;0.0;0;0.0;-0.01;0.08;-0.49;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;988351;Mallorca;Barcelona;Samú Costa;M;12;29.0;22.0;3.0;3.0;0.0;14.0;16.0;8.0;13.0;11.0;0.0;0.0;77.0;51.0;6.8;14.0;0.169319;48.709367321549;8.0;-13.536086534318;0.0;0;0.0;-0.11;-0.31;-0.01;0.0;0.0;2.0;8.0;9.0;0.0;2.0;2.0;0.0;0.0;0.0;4.0;2.0;3.0;3.0;1.0;0.0;1.0;0.0;3.0;0.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;255999;Mallorca;Barcelona;Omar Mascarell;M;5;24.0;20.0;4.0;4.0;0.0;13.0;15.0;7.0;9.0;2.0;0.0;0.0;90.0;35.0;7.0;5.0;0.00278668;60.201963346159;8.0;-3.2411980902834;0.0;0;0.0;-0.01;0.02;0.3;0.0;0.0;1.0;4.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;3.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;879543;Mallorca;Barcelona;Mateu Morey;M;2;9.0;5.0;0.0;0.0;0.0;2.0;2.0;3.0;7.0;0.0;0.0;0.0;62.0;24.0;6.6;8.0;0.0142252;22.255895012019;3.0;19.211599809268;0.0;0;0.0;-0.17;0.06;-0.02;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
14083269;1082981;Mallorca;Barcelona;Pablo Torre;M;20;14.0;10.0;0.0;0.0;0.0;8.0;12.0;2.0;2.0;4.0;0.0;0.0;62.0;29.0;6.2;11.0;0.00126776;26.08144392437;4.0;18.580589712373;0.0;1;0.0;-0.12;-0.07;-0.15;0.0;3.0;1.0;5.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;2.0;0.0435;1.0;-0.12;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1939173;Mallorca;Barcelona;Jan Virgili;M;17;8.0;3.0;0.0;0.0;0.0;0.0;2.0;3.0;6.0;1.0;0.0;0.0;62.0;23.0;6.7;10.0;0.399798;107.05087119458;7.0;77.73261323698;0.0;2;0.0;0.26;0.31;-0.1;0.0;0.0;1.0;5.0;4.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.1192;1.0;-0.37;1.0;2.0;0.0;0.0;0.0;0.73;31.286324495599;68.972407357615;3.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
