match_id;team;minute;value
14083292;Real Sociedad;35.0;30
14083292;Real Sociedad;36.0;3
14083292;Elche;37.0;-6
14083292;Real Sociedad;38.0;10
14083292;Elche;39.0;-5
14083292;Elche;40.0;-9
14083292;Real Sociedad;41.0;30
14083292;Elche;42.0;-35
14083292;Elche;43.0;-37
14083292;Elche;44.0;-23
14083292;Elche;45.0;-3
14083292;Elche;45.5;-14
14083292;Real Sociedad;46.0;2
14083292;Real Sociedad;47.0;14
14083292;Real Sociedad;48.0;10
14083292;Real Sociedad;49.0;22
14083292;Elche;50.0;-21
14083292;Elche;51.0;-33
14083292;Real Sociedad;52.0;29
14083292;Real Sociedad;53.0;11
14083292;Elche;54.0;-37
14083292;Elche;55.0;-40
14083292;Elche;56.0;-61
14083292;Elche;57.0;-43
14083292;Elche;58.0;-40
14083292;Elche;59.0;-31
14083292;Elche;60.0;-54
14083292;Elche;61.0;-33
14083292;Elche;62.0;-29
14083292;Elche;63.0;-30
14083292;Elche;64.0;-29
14083292;Elche;65.0;-23
14083292;Elche;66.0;-15
14083292;Elche;67.0;-15
14083292;Elche;68.0;-10
14083292;Real Sociedad;69.0;8
14083292;Real Sociedad;70.0;6
14083292;Elche;71.0;-6
14083292;Elche;72.0;-15
14083292;Real Sociedad;73.0;30
14083292;Real Sociedad;74.0;42
14083292;Real Sociedad;75.0;27
14083292;Real Sociedad;76.0;18
14083292;Real Sociedad;77.0;16
14083292;Real Sociedad;78.0;5
14083292;Elche;79.0;-9
14083292;Real Sociedad;80.0;20
14083292;Real Sociedad;81.0;7
14083292;Elche;82.0;-44
14083292;Elche;83.0;-13
14083292;Elche;84.0;-10
14083292;Elche;85.0;-5
14083292;Elche;86.0;-6
14083292;Real Sociedad;87.0;32
14083292;Real Sociedad;88.0;17
14083292;Real Sociedad;89.0;19
14083292;Real Sociedad;90.0;39
14083292;Real Sociedad;90.5;32
