match_id;team;minute;value
14083257;Getafe;78.0;-19
14083257;Deportivo Alavés;79.0;14
14083257;Deportivo Alavés;80.0;12
14083257;Deportivo Alavés;81.0;87
14083257;Deportivo Alavés;82.0;78
14083257;Deportivo Alavés;83.0;39
14083257;Deportivo Alavés;84.0;2
14083257;Getafe;85.0;-17
14083257;Getafe;86.0;-11
14083257;Getafe;87.0;-25
14083257;Deportivo Alavés;88.0;42
14083257;Deportivo Alavés;89.0;6
14083257;Deportivo Alavés;90.0;19
14083257;Deportivo Alavés;90.5;43
14083260;Athletic Club;1.0;1
14083260;Athletic Club;2.0;2
14083260;Athletic Club;3.0;2
14083260;Athletic Club;4.0;51
14083260;Athletic Club;5.0;34
14083260;Athletic Club;6.0;23
14083260;Athletic Club;7.0;16
14083260;Athletic Club;8.0;16
14083260;Athletic Club;9.0;26
14083260;Athletic Club;10.0;23
14083260;Athletic Club;11.0;13
14083260;Athletic Club;12.0;10
14083260;Athletic Club;13.0;4
14083260;Levante UD;14.0;-19
14083260;Levante UD;15.0;-15
14083260;Levante UD;16.0;-2
14083260;Levante UD;17.0;-3
14083260;Athletic Club;18.0;6
14083260;Athletic Club;19.0;19
14083260;Athletic Club;20.0;12
14083260;Athletic Club;21.0;11
14083260;Athletic Club;22.0;39
14083260;Athletic Club;23.0;16
14083260;Levante UD;24.0;-9
14083260;Athletic Club;25.0;25
14083260;Athletic Club;26.0;11
14083260;Levante UD;27.0;-11
14083260;Levante UD;28.0;-5
14083260;Athletic Club;29.0;20
14083260;Athletic Club;30.0;5
14083260;Athletic Club;31.0;1
14083260;Athletic Club;32.0;31
14083260;Athletic Club;33.0;5
14083260;Athletic Club;34.0;14
14083260;Athletic Club;35.0;6
14083260;Athletic Club;36.0;2
14083260;Athletic Club;37.0;27
14083260;Athletic Club;38.0;7
14083260;Athletic Club;39.0;8
14083260;Levante UD;40.0;-54
14083260;Levante UD;41.0;-28
14083260;Levante UD;42.0;-13
14083260;Levante UD;43.0;-9
14083260;Levante UD;44.0;-7
14083260;Levante UD;45.0;-3
14083260;Athletic Club;45.5;1
14083260;Athletic Club;46.0;4
14083260;Levante UD;47.0;-5
14083260;Athletic Club;48.0;13
14083260;Athletic Club;49.0;16
14083260;Athletic Club;50.0;5
14083260;Athletic Club;51.0;25
14083260;Athletic Club;52.0;30
14083260;Athletic Club;53.0;10
14083260;Athletic Club;54.0;2
14083260;Athletic Club;55.0;5
14083260;Athletic Club;56.0;61
14083260;Athletic Club;57.0;86
14083260;Athletic Club;58.0;20
14083260;Levante UD;59.0;-25
14083260;Athletic Club;60.0;13
14083260;Athletic Club;61.0;15
14083260;Athletic Club;62.0;15
14083260;Athletic Club;63.0;17
14083260;Athletic Club;64.0;23
14083260;Athletic Club;65.0;23
14083260;Athletic Club;66.0;20
14083260;Athletic Club;67.0;2
14083260;Athletic Club;68.0;21
14083260;Athletic Club;69.0;8
14083260;Athletic Club;70.0;45
14083260;Athletic Club;71.0;37
14083260;Athletic Club;72.0;27
14083260;Athletic Club;73.0;19
14083260;Athletic Club;74.0;44
14083260;Athletic Club;75.0;49
14083260;Athletic Club;76.0;34
14083260;Athletic Club;77.0;23
14083260;Athletic Club;78.0;40
14083260;Athletic Club;79.0;30
14083260;Athletic Club;80.0;19
14083260;Levante UD;81.0;-23
14083260;Levante UD;82.0;-5
14083260;Athletic Club;83.0;8
14083260;Levante UD;84.0;-30
14083260;Levante UD;85.0;-22
14083260;Levante UD;86.0;-6
14083260;Athletic Club;87.0;24
14083260;Athletic Club;88.0;19
14083260;Athletic Club;89.0;20
14083260;Athletic Club;90.0;7
14083260;Athletic Club;90.5;12
14083263;Atlético Madrid;1.0;7
14083263;Atlético Madrid;2.0;28
14083263;Atlético Madrid;3.0;40
14083263;Atlético Madrid;4.0;81
14083263;Atlético Madrid;5.0;64
14083263;Atlético Madrid;6.0;46
14083263;Atlético Madrid;7.0;52
14083263;Atlético Madrid;8.0;56
14083263;Atlético Madrid;9.0;35
14083263;Atlético Madrid;10.0;23
14083263;Atlético Madrid;11.0;40
14083263;Atlético Madrid;12.0;38
14083263;Real Betis;13.0;-40
14083263;Real Betis;14.0;-7
14083263;Atlético Madrid;15.0;9
14083263;Real Betis;16.0;-80
14083263;Atlético Madrid;17.0;83
14083263;Atlético Madrid;18.0;17
14083263;Real Betis;19.0;-17
14083263;Real Betis;20.0;-18
14083263;Real Betis;21.0;-7
14083263;Real Betis;22.0;-6
14083263;Atlético Madrid;23.0;19
14083263;Atlético Madrid;24.0;7
14083263;Atlético Madrid;25.0;4
14083263;Real Betis;26.0;-4
14083263;Real Betis;27.0;-13
14083263;Real Betis;28.0;-20
14083263;Real Betis;29.0;-70
14083263;Real Betis;30.0;-32
14083263;Real Betis;31.0;-26
14083263;Real Betis;32.0;-3
14083263;Atlético Madrid;33.0;2
14083263;Real Betis;34.0;-22
14083263;Real Betis;35.0;-5
14083263;Atlético Madrid;36.0;12
14083263;Atlético Madrid;37.0;11
14083263;Atlético Madrid;38.0;12
14083263;Atlético Madrid;39.0;15
14083263;Atlético Madrid;40.0;48
14083263;Atlético Madrid;41.0;32
14083263;Atlético Madrid;42.0;26
14083263;Atlético Madrid;43.0;24
14083263;Atlético Madrid;44.0;31
14083263;Atlético Madrid;45.0;27
14083263;Atlético Madrid;45.5;0
14083263;Atlético Madrid;46.0;7
14083263;Atlético Madrid;47.0;5
14083263;Atlético Madrid;48.0;4
14083263;Atlético Madrid;49.0;4
14083263;Atlético Madrid;50.0;8
14083263;Atlético Madrid;51.0;13
14083263;Atlético Madrid;52.0;9
14083263;Atlético Madrid;53.0;9
14083263;Atlético Madrid;54.0;11
14083263;Atlético Madrid;55.0;23
14083263;Atlético Madrid;56.0;31
14083263;Atlético Madrid;57.0;18
14083263;Atlético Madrid;58.0;6
14083263;Atlético Madrid;59.0;31
14083263;Atlético Madrid;60.0;84
14083263;Atlético Madrid;61.0;35
14083263;Atlético Madrid;62.0;17
14083263;Atlético Madrid;63.0;14
14083263;Real Betis;64.0;-18
14083263;Atlético Madrid;65.0;16
14083263;Atlético Madrid;66.0;10
14083263;Atlético Madrid;67.0;27
14083263;Atlético Madrid;68.0;22
14083263;Atlético Madrid;69.0;79
14083263;Atlético Madrid;70.0;65
14083263;Atlético Madrid;71.0;49
14083263;Atlético Madrid;72.0;45
14083263;Atlético Madrid;73.0;35
14083263;Atlético Madrid;74.0;22
14083263;Atlético Madrid;75.0;20
14083263;Atlético Madrid;76.0;31
14083263;Atlético Madrid;77.0;22
14083263;Atlético Madrid;78.0;17
14083263;Atlético Madrid;79.0;15
14083263;Atlético Madrid;80.0;20
14083263;Atlético Madrid;81.0;20
14083263;Atlético Madrid;82.0;16
14083263;Atlético Madrid;83.0;34
14083263;Real Betis;84.0;-24
14083263;Real Betis;85.0;-3
14083263;Atlético Madrid;86.0;25
14083263;Atlético Madrid;87.0;18
14083263;Atlético Madrid;88.0;21
14083263;Atlético Madrid;89.0;22
14083263;Atlético Madrid;90.0;18
14083263;Real Betis;90.5;-23
14083269;Barcelona;1.0;8
14083269;Barcelona;2.0;26
14083269;Barcelona;3.0;46
14083269;Barcelona;4.0;35
