league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;gameStarted;saves;goalKicks;totalPass;totalClearance;minsPlayed;cleanSheet;accuratePass;formationPlace;lostCorners;totalSubOff;totalThrows;wonTackle;totalTackle;fouls;shotOffTarget;totalScoringAtt;ontargetScoringAtt;goals;wasFouled;totalOffside;yellowCard;wonCorners;cornerTaken;blockedScoringAtt;goalAssist;totalSubOn;goalsConceded
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;24;Defender;Left/Centre;6;1;0;0;68;6;90;0;63;6;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;548jzfl9higq44w9bgqvcjh05;José María Giménez de Vargas;José María Giménez;J. Giménez;2;Defender;Centre/Right;5;1;0;0;63;5;90;0;61;5;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Defender;Right;2;1;0;0;44;0;90;0;40;2;0;0;5;1;1;3;0;0;0;0;1;1;0;0;0;0;0;0;2
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;9e7ybe0nsu3byq2tteey3zuy2;Pablo Barrios Rivas;Pablo Barrios;Pablo Barrios;8;Midfielder;Left;11;1;0;0;26;0;52;0;23;11;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;6;Midfielder;Left/Centre;8;1;0;0;56;1;64;0;55;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;3ga7qj3h3dbmqucxmaxhmrjdh;Rodrigo Javier De Paul;Rodrigo De Paul;R. De Paul;5;Midfielder;Centre/Right;4;1;0;0;80;0;90;0;66;4;0;0;0;1;2;1;1;1;0;0;4;0;1;1;0;0;0;0;2
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;22;Midfielder;Right;7;1;0;0;14;1;45;0;10;7;0;1;0;1;1;0;1;1;0;0;2;0;0;1;0;0;0;0;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;19;Striker;Left/Centre;9;1;0;0;26;1;63;0;22;9;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;9;Striker;Centre/Right;10;1;0;0;15;3;67;0;11;10;1;1;0;1;1;2;0;4;4;0;0;0;0;0;0;0;0;0;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;bvw1jgmhfyc896gfi6uj0skwl;César Azpilicueta Tanco;César Azpilicueta;César Azpilicueta;3;Substitute;Defender;0;0;0;0;31;1;45;0;28;0;0;0;4;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;6fdvv4zs5pl6qj7pp6tsp5iad;Ángel Martín Correa Martínez;Ángel Correa;Á. Correa;10;Substitute;Attacker;0;0;0;0;8;0;26;0;8;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;7yngrviue4iji7w0f9ql07j6x;Samuel Dias Lino;Samuel Dias Lino;Samuel Lino;12;Substitute;Midfielder;0;0;0;0;24;0;45;0;17;0;0;0;0;1;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;c83h08n0vnjvfgglyefy03h0p;Conor John Gallagher;Conor Gallagher;C. Gallagher;4;Substitute;Midfielder;0;0;0;0;11;0;23;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;716n1970vi9rvw5b4w9qmjfth;Antoine Griezmann;Antoine Griezmann;A. Griezmann;7;Substitute;Attacker;0;0;0;0;19;0;27;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;ieu0x9fy8hpqyztdjg8bgpnt;Nahuel Molina Lucero;Nahuel Molina;N. Molina;16;Substitute;Defender;0;0;0;0;31;2;38;0;28;0;0;0;5;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1
