league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;penaltyFaced;goalsConceded;minsPlayed;totalPass;totalClearance;gameStarted;accuratePass;goalKicks;penGoalsConceded;saves;formationPlace;wonTackle;wasFouled;totalSubOff;lostCorners;fouls;totalTackle;totalThrows;shotOffTarget;totalScoringAtt;ontargetScoringAtt;goals;blockedScoringAtt;penaltyConceded;yellowCard;wonCorners;totalOffside;cornerTaken;totalSubOn;goalAssist;penaltyWon
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;18;Defensive Midfielder;Left/Centre;4;0;2;77;30;1;1;26;0;0;0;4;1;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;3ub05nnpt9o7s387z6oj8vf56;João Lucas de Souza Cardoso;Johnny Cardoso;J. Cardoso;4;Defensive Midfielder;Centre/Right;8;0;2;90;38;2;1;31;0;0;0;8;2;0;0;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;96cbv23es0gucmd2v0qvk3iwa;Abdessamad Ezzalzouli;Abde Ezzalzouli;A. Ezzalzouli;10;Attacking Midfielder;Left;11;0;2;69;14;1;1;7;0;0;0;11;0;2;1;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;45s1v9805id09m5zkcylueod1;Francisco Román Alarcón Suárez;Francisco Román Alarcón Suárez;Isco;22;Attacking Midfielder;Centre;10;0;2;69;32;0;1;26;0;0;0;10;0;1;1;0;3;0;0;0;3;1;1;2;0;0;3;0;5;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;v22q59d00b5v78rgx7v8z3vu;Antony Matheus dos Santos;Antony Matheus dos Santos;Antony;7;Attacking Midfielder;Right;7;0;2;90;24;0;1;18;0;0;0;7;0;1;0;0;2;1;1;2;2;0;0;0;0;0;2;0;1;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;8aao79b1g77c5jhp1n0w60xrd;Juan Camilo Hernández Suárez;Cucho Hernández;C. Hernández;19;Striker;Centre;9;0;2;77;16;1;1;15;0;0;0;9;0;1;1;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;a68fosxpgtyxj64ex9f6nget;Cédric Bakambu;Cédric Bakambu;C. Bakambu;11;Substitute;Attacker;0;0;0;13;3;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;dhtb9gizk25k1u3h0b7xgy4tl;Giovani Lo Celso;Giovani Lo Celso;G. Lo Celso;20;Substitute;Midfielder;0;0;0;21;8;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;30ed2aojjzmqigq6vkcrzc8pg;Jesús Rodríguez Caraballo;Jesús Rodríguez;Jesús Rodríguez;36;Substitute;Attacker;0;0;0;21;8;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Substitute;Attacker;0;0;2;65;18;3;0;13;0;0;0;0;1;0;0;2;0;1;7;1;1;0;0;0;0;0;0;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;10f06nit2xupshuz4lmazrvth;William Silva de Carvalho;William Silva de Carvalho;William Carvalho;14;Substitute;Midfielder;0;0;0;13;9;1;0;6;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
