league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;totalClearance;wasFouled;goalsConceded;totalPass;accuratePass;minsPlayed;gameStarted;goalKicks;formationPlace;totalThrows;totalTackle;fouls;totalSubOff;shotOffTarget;totalScoringAtt;lostCorners;blockedScoringAtt;wonTackle;ontargetScoringAtt;wonCorners;cornerTaken;yellowCard;totalSubOn;cleanSheet;totalOffside;goalAssist;goals
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;391oekz9hqryaacwbzn7mtl62;Manuel Fuster Lázaro;Manu Fuster;Manu Fuster;14;Striker;Centre/Right;10;0;1;3;1;46;34;90;1;0;10;3;1;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;7atmb373dynu9s9gnl613ox5h;Adnan Januzaj;Adnan Januzaj;A. Januzaj;24;Substitute;Midfielder;0;0;0;1;0;5;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;6q6xdzahdcbjnrl9gx3v50gt0;Diego Martín Pérez;Diego Martín Pérez;Diego Martín;34;Substitute;Attacker;0;0;0;1;0;5;3;9;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;ckne0j1fs5cxufyicjbygdi39;Jaime Mata Arnaiz;Jaime Mata;Jaime Mata;17;Substitute;Attacker;0;0;0;1;0;6;4;18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;2s5dh0qcw0yoieh79rzoyebpx;Benito Ramírez del Toro;Benito Ramírez;Benito Ramírez;11;Substitute;Midfielder;0;0;0;0;0;30;27;45;0;0;0;5;0;0;0;1;1;0;0;0;0;2;3;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;b259zuv3yvgc7me5hdjag17v8;Sergio Viera García;Sergio Viera;Sergio Viera;33;Substitute;Midfielder;0;0;1;1;0;25;20;35;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;bahph7009sc73jl6s2bramn6d;Marko Dmitrović;Marko Dmitrovic;M. Dmitrović;13;Goalkeeper;Centre;1;3;0;0;0;27;8;90;1;8;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;3xxwjf3ymu1j9825xjuwuknah;Javier Hernández Carrera;Javi Hernández;Javi Hernández;20;Defender;Left;3;0;5;0;0;23;15;90;1;0;3;17;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;dtuwn06lnvxugaj637i553r2t;Matija Nastasić;Matija Nastasic;M. Nastasić;22;Defender;Left/Centre;6;0;10;2;0;19;17;78;1;0;6;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;48ctbksxfm5hrdmwphb4eril1;Jorge Sáenz de Miera Colmeiro;Jorge Sáenz;Jorge Sáenz;3;Defender;Centre/Right;5;0;3;1;0;19;13;90;1;0;5;0;0;2;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;9p87liko3b1jjpjmi19135y0a;Adrià Altimira Reynaldos;Adrià Alti;Adrià Alti;2;Defender;Right;2;0;3;1;0;16;14;90;1;0;2;7;6;1;0;0;0;0;0;5;0;0;0;1;0;1;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;4jjk6jqgz3w4uvm3bvhl9t016;Juan Cruz Díaz Espósito;Juan Cruz;Juan Cruz;11;Midfielder;Left;11;0;2;2;0;16;10;88;1;0;11;1;1;1;1;0;2;3;1;0;1;0;0;0;0;0;0;1;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;9g4devlvymukexrvfgkipd6tx;Renato Fabrizio Tapia Cortijo;Renato Tapia;R. Tapia;5;Midfielder;Left/Centre;8;0;4;0;0;27;20;90;1;0;8;0;3;1;0;0;1;2;0;1;1;0;0;0;0;1;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;bxzhhmig5if9pznqa0fgxlyei;Seydouba Cissé;Seydouba Cissé;S. Cissé;8;Midfielder;Centre/Right;4;0;3;0;0;30;24;90;1;0;4;0;5;0;0;1;1;0;0;3;0;0;0;0;0;1;1;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;pr0nfcph8mlm3plq9b69o8a1;Daniel Raba Antolín;Dani Raba;Dani Raba;10;Midfielder;Right;7;0;1;1;0;10;7;45;1;0;7;0;1;0;1;1;2;0;0;1;1;0;1;0;0;0;0;0;1
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;entqiwoor6dhwqcg5s82krfth;Munir El Haddadi Mohamed;Munir El Haddadi;M. El Haddadi;23;Striker;Left/Centre;9;0;0;1;0;3;2;20;1;0;9;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;7qy3e0pry4wdkimrffnus4zu2;Diego García Campos;Diego García;Diego García;19;Striker;Centre/Right;10;0;1;2;0;11;3;88;1;0;10;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;8e6qzf8dp3c9lch7tu5r03qqc;Yan Diomande;Yan Diomande;Y. Diomande;30;Substitute;Attacker;0;0;3;1;0;13;13;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;dvyl5rfgfkoplnwrs73rkidhx;Sergio González Poirrier;Sergio González;Sergio González;6;Substitute;Defender;0;0;0;1;0;0;0;12;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;bkehljspqbj6tz0peqjivkvai;Luís Henriques de Barros Lopes;Luís Henriques de Barros Lopes;Duk;18;Substitute;Attacker;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;ea5xlslcii56ycrlmyo6uiimt;Óscar Rodríguez Arnaiz;Óscar Rodríguez;Óscar Rodríguez;7;Substitute;Midfielder;0;0;1;2;0;16;10;45;0;0;0;0;0;1;0;1;2;0;1;0;0;0;1;0;1;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;a233iunrs5zqk5q62xv0oogdl;Miguel de la Fuente Escudero;Miguel de la Fuente;Miguel de la Fuente;9;Substitute;Attacker;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
