league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;gameStarted;goalsConceded;minsPlayed;totalPass;accuratePass;goalKicks;saves;formationPlace;totalSubOff;lostCorners;totalThrows;fouls;totalScoringAtt;shotOffTarget;totalClearance;wonTackle;wasFouled;totalTackle;yellowCard;wonCorners;blockedScoringAtt;ontargetScoringAtt;goalAssist;cornerTaken;goals;totalOffside;totalSubOn
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;96cbv23es0gucmd2v0qvk3iwa;Abdessamad Ezzalzouli;Abde Ezzalzouli;A. Ezzalzouli;10;Substitute;Attacker;0;0;1;30;13;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;1;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;cdsidpd0i3ub2tvw47qt813x0;Nobel Mendy;Nobel Mendy;N. Mendy;32;Substitute;Defender;0;0;1;17;12;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;67qku7vyvbw76086eu05nowd1;Romain Paul Jean-Michel Perraud;Romain Perraud;R. Perraud;15;Substitute;Defender;0;0;0;13;9;9;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;10f06nit2xupshuz4lmazrvth;William Silva de Carvalho;William Silva de Carvalho;William Carvalho;14;Substitute;Midfielder;0;0;1;17;20;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;20o2dr1mdk18xhxmkujzgak89;Giorgi Mamardashvili;Giorgi Mamardashvili;G. Mamardashvili;25;Goalkeeper;Centre;1;1;1;90;29;23;4;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;d6kzekcwqw0q8fq6wt6rmyusq;Jesús Vázquez Alcalde;Jesús Vázquez;Jesús Vázquez;21;Defender;Left;3;1;1;90;35;29;0;0;3;0;0;8;1;0;0;2;2;1;3;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;eucssbf7wamb41y1gixfodivp;Mouctar Diakhaby;Mouctar Diakhaby;M. Diakhaby;4;Defender;Left/Centre;6;1;1;90;50;43;0;0;6;0;0;0;0;1;1;6;2;2;3;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;2u8bekuidiwqz1gvb4vd3uhg;César Tárrega Requeni;César Tárrega;César Tárrega;15;Defender;Centre/Right;5;1;1;90;72;59;5;0;5;0;1;0;3;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;6o76owze8y78ue9sb49g8kyz8;Cristhian Andrey Mosquera Ibargüen;Cristhian Mosquera;Cristhian Mosquera;3;Defender;Right;2;1;1;90;51;42;0;0;2;0;2;12;0;0;0;0;4;0;4;0;1;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;5f5e6wufz0x041bvqzor10k16;Enzo Alan Tomás Barrenechea;Enzo Barrenechea;E. Barrenechea;5;Defensive Midfielder;Left/Centre;4;1;1;90;72;70;0;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
