match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFaced;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConceded;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWon;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;savessw;totalPasssw;totalThrows;formationPlace;foulssw;totalClearancesw;totalSubOff;totalTacklesw;yellowCard;totalOffsidesw;wonTacklesw;ontargetScoringAtt;totalScoringAtt;blockedScoringAtt;wonCorners;cornerTaken;shotOffTargetsw;wasFouledsw;totalSubOn;cleanSheet;goalAssistsw;goalssw;Venue
14083263;824200;Atlético de Madrid;Real Betis;Ademola Lookman;F;22;22.0;20.0;0.0;0.0;0.0;1.0;1.0;19.0;21.0;3.0;0.0;0.0;0.0;0.0;0.0;70.0;33.0;6.3;8.0;0.0599433;80.384286998322;12.0;25.939684019257;0.0;2;0.0;0.08;-0.43;-0.01;0.0;1.0;0.0;0.0;4.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0546;0.0;0.0;0.0;-0.41;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;8d04q3yp2kouwog0lj0s7ew2x;Ademola Olajade Alade Aylola Lookman;Ademola Lookman;A. Lookman;Striker;Left/Centre;9;20;1;0;1;0;70;0;22;1;9;1;0;1;0;1;2;0;0;2;0;1;0;2;0;0;0;0;0;Home
14083263;787751;Atlético de Madrid;Real Betis;Robin Le Normand;D;24;53.0;49.0;3.0;1.0;0.0;26.0;27.0;23.0;26.0;3.0;0.0;0.0;0.0;0.0;0.0;45.0;56.0;7.1;5.0;0.0120643;144.2280892337;21.0;96.269399127081;0.0;0;0.0;0.08;0.16;0.17;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;13.616788444428;21.174118541276;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;Substitute;Defender;0;49;0;0;0;0;45;0;53;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;Home
14083263;910031;Atlético de Madrid;Real Betis;Alejandro Baena;M;10;24.0;19.0;2.0;0.0;0.0;3.0;3.0;16.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;42.0;6.5;15.0;0.0941624;217.596683815;23.0;135.60675524271;0.0;0;0.0;0.19;0.21;-0.02;0.0;5.0;0.0;0.0;5.0;2.0;3.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;29.967775523432;39.965589435755;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;Substitute;Midfielder;0;19;0;0;0;0;45;0;24;1;0;3;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;Home
14083263;309078;Atlético de Madrid;Real Betis;Alexander Sørloth;F;9;2.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;5.0;6.6;1.0;0.00047781;7.5990673769878;1.0;-5.2180172544802;0.0;2;0.0;-0.03;-0.21;0.0;0.0;1.0;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2021;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.4639;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;Substitute;Attacker;0;2;0;0;0;0;45;0;2;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0;Home
14083263;85859;Atlético de Madrid;Real Betis;Antoine Griezmann;F;7;13.0;10.0;2.0;2.0;0.0;1.0;2.0;9.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;35.0;23.0;6.8;6.0;0.204497;23.927446345669;4.0;6.3452811800469;0.0;1;0.0;0.29;-0.49;-0.01;0.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0554;0.0;0.0;0.0;-0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;716n1970vi9rvw5b4w9qmjfth;Antoine Griezmann;Antoine Griezmann;A. Griezmann;Substitute;Attacker;0;10;0;0;0;0;35;0;13;2;0;0;0;0;0;0;2;0;0;1;0;0;2;1;0;1;0;0;0;Home
14083263;1119345;Atlético de Madrid;Real Betis;Obed Vargas;M;21;14.0;12.0;3.0;1.0;0.0;3.0;3.0;9.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;16.0;6.6;3.0;0.0130655;48.920767277535;6.0;40.726663866016;0.0;0;0.0;0.02;0.07;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;q00t04zyy8idanvhpee3ubu2;Obed Gómez Vargas;Obed Vargas;O. Vargas;Substitute;Midfielder;0;12;0;0;0;0;20;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Home
14083263;964983;Real Betis;Atlético de Madrid;Álvaro Valles;G;1;43.0;23.0;33.0;13.0;0.0;18.0;19.0;5.0;24.0;10.0;5.0;0.0;5.0;0.0;0.0;90.0;57.0;8.3;21.0;0.00120009;56.745111116874;10.0;24.867600531511;0.6748;0;1.3102;0.2;0.02;0.3;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;routhh0ialijcg3egagouig9;Álvaro Valles Rosa;Álvaro Valles;Álvaro Valles;Goalkeeper;Centre;1;23;1;4;0;2;90;5;43;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Away
14083263;893062;Real Betis;Atlético de Madrid;Aitor Ruibal;D;24;43.0;31.0;11.0;6.0;0.0;19.0;26.0;12.0;17.0;6.0;0.0;0.0;0.0;0.0;0.0;90.0;61.0;7.1;15.0;0.00438057;83.077279816043;11.0;59.067439406602;0.0;0;0.0;0.11;0.06;0.15;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;Defender;Right;2;31;1;0;0;0;90;0;43;4;2;0;2;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;Away
14083263;305278;Real Betis;Atlético de Madrid;Diego Llorente;D;3;34.0;33.0;4.0;3.0;0.0;26.0;26.0;7.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;90.0;54.0;7.6;1.0;0.00159639;54.051830814061;9.0;9.4405999269382;0.0;0;0.0;0.1;0.12;0.71;0.0;0.0;3.0;2.0;3.0;4.0;0.0;0.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;9ao7l82r1xd2rjnvv5u6plcr9;Diego Javier Llorente Ríos;Diego Llorente;Diego Llorente;Defender;Centre/Right;5;33;1;4;0;1;90;0;34;0;5;0;14;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;Away
14083263;1015287;Real Betis;Atlético de Madrid;Natan;D;4;27.0;26.0;1.0;0.0;0.0;25.0;25.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;36.0;6.9;1.0;0.00019808;88.643905735889;11.0;26.039145442907;0.0;0;0.0;0.0;0.02;0.3;0.0;0.0;3.0;0.0;3.0;2.0;0.0;0.0;5.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;Defender;Left/Centre;6;26;1;5;0;1;90;0;27;0;6;0;5;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;Away
14083263;67769;Real Betis;Atlético de Madrid;Ricardo Rodríguez;D;12;23.0;21.0;3.0;2.0;0.0;12.0;13.0;9.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;36.0;6.9;2.0;0.00632067;53.513796480773;9.0;-5.2399057277637;0.0;0;0.0;0.05;-0.05;0.18;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;Defender;Left;3;21;1;0;0;0;90;0;23;6;3;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Away
14083263;816763;Real Betis;Atlético de Madrid;Pablo Fornals;M;8;38.0;31.0;2.0;1.0;0.0;12.0;15.0;19.0;23.0;3.0;0.0;0.0;0.0;0.0;0.0;70.0;51.0;6.7;13.0;0.0183613;63.617236916034;11.0;22.711331935192;0.0;0;0.0;0.02;0.09;-0.04;0.0;3.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;11.808316672712;11.809332284257;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;Midfielder;Centre/Right;7;31;1;0;0;0;70;0;38;0;7;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Away
14083263;847128;Real Betis;Atlético de Madrid;Marc Roca;M;21;39.0;37.0;1.0;1.0;0.0;22.0;22.0;15.0;17.0;4.0;0.0;0.0;0.0;0.0;0.0;90.0;50.0;7.3;4.0;0.00834458;154.46143551314;24.0;15.775400112517;0.0;0;0.0;0.06;0.12;0.34;0.0;0.0;0.0;0.0;2.0;5.0;1.0;0.0;3.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Real Betis;4r6jcuotjs6rz8iwu20996z85;Marc Roca Junqué;Marc Roca;Marc Roca;Midfielder;Centre;4;37;1;0;0;0;90;0;39;0;4;1;3;0;2;0;0;2;0;0;0;0;0;0;2;0;1;0;0;Away
