league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;ontargetScoringAtt;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;fouls;goals;shotOffTarget;blockedScoringAtt;goalAssist;totalOffside;totalSubOff;cornerTaken;totalSubOn;yellowCard;goalsConceded
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;asvxbmdd5j5tlz2fo1jpcrrx0;Jozhua Tomayo Vertrouwd;Jozhua Vertrouwd;J. Vertrouwd;33;Substitute;Defender;0;10;0;0;0;0;26;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;13;Goalkeeper;Centre;1;24;0;1;5;0;90;6;0;28;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;7mvqysbmyf6uj3jny3qpqw2ga;Matteo Ruggeri;Matteo Ruggeri;M. Ruggeri;3;Defender;Left;3;20;0;1;0;0;56;0;1;22;3;0;0;1;6;0;2;1;1;0;0;0;0;0;1;0;0;0;2
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;3gsprcdyogabeb8lr2y0bmytx;Clément Nicolas Laurent Lenglet;Clément Lenglet;C. Lenglet;15;Defender;Left/Centre;6;34;0;1;0;1;63;0;6;40;6;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;2
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;548jzfl9higq44w9bgqvcjh05;José María Giménez de Vargas;José María Giménez;J. Giménez;2;Defender;Centre/Right;5;56;0;1;0;1;90;0;4;61;5;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;3
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;ieu0x9fy8hpqyztdjg8bgpnt;Nahuel Molina Lucero;Nahuel Molina;N. Molina;16;Defender;Right;2;43;0;1;0;0;90;0;5;54;2;0;1;1;14;0;0;0;1;0;0;1;0;0;0;0;0;0;3
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;3ub05nnpt9o7s387z6oj8vf56;João Lucas de Souza Cardoso;Johnny Cardoso;J. Cardoso;5;Defensive Midfielder;Centre;4;30;0;1;0;0;63;0;0;34;4;0;0;1;0;1;0;1;3;0;0;0;0;0;1;0;0;1;2
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;eh1ul4duphy1iz4odwx9tkjjd;Nicolás Iván González;Nico González;N. González;23;Midfielder;Left;11;32;0;1;0;1;90;0;2;43;11;2;4;1;5;0;4;0;1;0;1;1;0;0;0;0;0;0;3
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;10;Midfielder;Left/Centre;10;22;0;1;0;0;56;0;0;26;10;0;1;0;0;0;0;0;1;0;1;0;0;0;1;3;0;0;2
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;1filh68q6hdk921qkdo7rsvmc;Rodrigo Mendoza Martinez Moya;Rodrigo Mendoza;Rodrigo Mendoza;4;Midfielder;Centre/Right;8;22;0;1;0;0;56;0;2;25;8;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;2
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;4ea0sjczqa5ah1w720zlakkfe;Thiago Ezequiel Almada;Thiago Almada;T. Almada;11;Midfielder;Right;7;52;0;1;0;0;90;0;0;59;7;0;1;1;1;2;0;1;1;0;0;1;0;0;0;1;0;0;3
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;9;Striker;Centre;9;11;0;1;0;0;90;0;0;15;9;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;8d04q3yp2kouwog0lj0s7ew2x;Ademola Olajade Alade Aylola Lookman;Ademola Lookman;A. Lookman;22;Substitute;Attacker;0;2;0;0;0;0;27;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;19;Substitute;Attacker;0;6;0;0;0;0;34;0;0;9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;1;0;1
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;24;Substitute;Defender;0;33;0;0;0;1;34;0;3;37;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Substitute;Midfielder;0;13;0;0;0;0;27;0;0;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;q00t04zyy8idanvhpee3ubu2;Obed Gómez Vargas;Obed Vargas;O. Vargas;21;Substitute;Midfielder;0;13;0;0;0;0;34;0;0;16;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1
