league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;totalThrows;wasFouled;fouls;totalTackle;wonTackle;wonCorners;yellowCard;blockedScoringAtt;goals;ontargetScoringAtt;totalScoringAtt;totalSubOff;penaltyWon;cornerTaken;totalOffside;goalAssist;shotOffTarget;totalSubOn;penGoalsConceded;penaltyFaced;penaltyConceded
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;3pwr7lqvo4o08c4nvzqpuue39;Vedat Muriqi;Vedat Muriqi;V. Muriqi;7;Striker;Centre;9;17;1;0;1;0;89;0;1;25;9;0;2;2;0;0;1;0;1;1;2;5;1;0;0;0;1;2;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;9d4cokmqyy9vabji5g0ascavo;Mateo Joseph Fernández-Regatillo;Mateo Joseph;Mateo Joseph;18;Substitute;Attacker;0;1;0;0;0;0;6;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;12qc3dkodeb8ykg6pc0kqf2l1;Manuel Morlanes Ariño;Manu Morlanes;Manu Morlanes;8;Substitute;Midfielder;0;4;0;0;0;0;7;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;2wdjbfzaiokiawrbn5wzsx61h;Abdón Roger Prats Bastidas;Abdón Prats;Abdón Prats;9;Substitute;Attacker;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;2td3iejdken4orcduqrdutrhm;Antonio Sánchez Navarro;Antonio Sánchez;Antonio Sánchez;6;Substitute;Midfielder;0;2;0;0;0;0;35;0;1;5;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;5kodjbsarkql4vhs126p2vhwq;Pablo Torre Carral;Pablo Torre;Pablo Torre;20;Substitute;Midfielder;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;7jtc6yk5xu4cm1an97wrgozbp;Odysseas Vlachodimos;Odysseas Vlachodimos;O. Vlachodimos;1;Goalkeeper;Centre;1;24;1;4;4;2;90;2;1;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;9nwkxgbl8t933pzu60ye4xxxw;Enrique Jesús Salas Valiente;Kike Salas;Kike Salas;4;Defender;Left/Centre;4;60;1;0;4;1;90;0;4;71;4;0;1;3;3;0;0;0;3;0;0;3;0;0;0;0;0;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;3enoici51osego5k1w41fuaqd;Fábio Rafael Rodrigues Cardoso;Fábio Rafael Rodrigues Cardoso;Fábio Cardoso;15;Defender;Centre;5;59;1;0;3;0;79;0;7;61;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;6jq376l673aizjxxhhos2j52i;José Ángel Carmona Navarro;José Ángel Carmona;José Ángel Carmona;2;Defender;Centre/Right;6;59;1;0;4;1;90;0;1;66;6;13;2;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1
