league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;totalClearance;totalPass;formationPlace;fouls;ontargetScoringAtt;shotOffTarget;totalScoringAtt;wasFouled;lostCorners;totalTackle;wonTackle;totalThrows;blockedScoringAtt;wonCorners;totalSubOff;cornerTaken;goals;totalSubOn;penaltyWon;yellowCard;goalAssist;goalsConceded;penGoalsConceded;penaltyFaced;saves;penaltyConceded
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Defensive Midfielder;Centre/Right;8;39;0;1;0;90;4;53;8;1;0;0;0;4;1;4;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;4cuha2o4qsp1tb8yhqu3ntij8;Jan Virgili Tenas;Jan Virgili;Jan Virgili;17;Attacking Midfielder;Left;11;11;0;1;0;77;0;14;11;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Attacking Midfielder;Centre;10;12;0;1;0;90;0;15;10;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;2td3iejdken4orcduqrdutrhm;Antonio Sánchez Navarro;Antonio Sánchez;Antonio Sánchez;6;Attacking Midfielder;Right;7;14;0;1;0;86;2;20;7;0;0;0;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;3pwr7lqvo4o08c4nvzqpuue39;Vedat Muriqi;Vedat Muriqi;V. Muriqi;7;Striker;Centre;9;10;0;1;0;77;1;15;9;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;9d4cokmqyy9vabji5g0ascavo;Mateo Joseph Fernández-Regatillo;Mateo Joseph;Mateo Joseph;18;Substitute;Attacker;0;2;0;0;0;13;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;4rcsvuxnotyjoo72f8okudh5g;Javier Llabrés Exposito;Javi Llabrés;Javi Llabrés;19;Substitute;Attacker;0;3;0;0;0;4;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Substitute;Defender;0;3;0;0;0;22;1;5;0;1;0;0;0;0;1;0;0;4;0;1;0;0;0;1;0;1;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;12qc3dkodeb8ykg6pc0kqf2l1;Manuel Morlanes Ariño;Manu Morlanes;Manu Morlanes;8;Substitute;Midfielder;0;10;0;0;0;21;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;5kodjbsarkql4vhs126p2vhwq;Pablo Torre Carral;Pablo Torre;Pablo Torre;20;Substitute;Midfielder;0;2;0;0;0;13;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0
