league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;fouls;lostCorners;totalClearance;totalOffside;totalTackle;totalThrows;wasFouled;wonTackle;yellowCard;shotOffTarget;totalScoringAtt;totalSubOff;blockedScoringAtt;wonCorners;cornerTaken;totalSubOn;cleanSheet;goals;ontargetScoringAtt;goalAssist
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;a6ud2u88utl6khwf0c4qbdox6;Lucas Ezequiel Beltrán;Lucas Beltrán;L. Beltrán;15;Striker;Centre/Right;10;21;1;0;1;82;0;24;10;5;0;2;0;3;0;4;2;0;2;2;1;0;1;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;aqqd7tq7z6bj3wn3u3sz3uuqc;Javier Guerra Moreno;Javi Guerra;Javi Guerra;8;Substitute;Midfielder;0;5;0;0;1;9;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;blvf8qsi6iy6ejyer58okyxka;Largie Ramazani;Largie Ramazani;L. Ramazani;17;Substitute;Attacker;0;3;0;0;1;9;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;8vmrboswsfyb5bfoq07s6susp;Thierry Rendall Correia;Thierry Rendall Correia;Thierry Correia;12;Substitute;Defender;0;7;0;0;1;18;0;10;0;0;0;1;0;1;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;73efpm314q2paeacsvp4e8q8l;Guido Rodríguez;Guido Rodríguez;G. Rodríguez;2;Substitute;Midfielder;0;19;0;0;1;18;0;21;0;0;0;0;0;2;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;6;Substitute;Attacker;0;2;0;0;1;8;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;6crmq7vzqts58wg196q48sc7p;Thibaut Nicolas Marc Courtois;Thibaut Courtois;T. Courtois;1;Goalkeeper;Centre;1;13;1;5;0;90;0;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;a4kw8u4dqsslfwe1ux08lbmc;Álvaro Fernández Carreras;Álvaro Carreras;Álvaro Carreras;18;Defender;Left;3;44;1;0;0;90;0;51;3;3;0;4;0;1;9;0;1;1;0;1;0;0;1;0;0;1;1;1;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;d2hnxi1yi5rgqj1tvxh1813x0;Dean Donny Huijsen Wijsmuller;Dean Huijsen;Dean Huijsen;24;Defender;Left/Centre;6;60;1;1;0;90;0;66;6;1;0;9;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;atj6u4qul0o2ca57etbmes07o;Raúl Asencio del Rosario;Raúl Asencio;Raúl Asencio;17;Defender;Centre/Right;5;52;1;1;0;90;0;55;5;0;1;4;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;9650u1owvf264fwnuzc0zlfro;David Jiménez Corredor;David Jiménez;David Jiménez;35;Defender;Right;2;34;1;0;0;76;0;35;2;0;1;1;0;1;3;0;1;0;0;1;1;0;1;0;0;0;0;1;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;en2c7z1raqmcwee78297pbnu2;Eduardo Celmi Camavinga;Eduardo Camavinga;E. Camavinga;6;Midfielder;Left;11;52;1;0;0;90;0;55;11;3;2;2;0;4;1;1;3;0;1;1;0;0;1;0;0;1;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;aipyotc87m5bdvmvizd5n69k9;Aurélien Djani Tchouaméni;Aurélien Tchouaméni;A. Tchouaméni;14;Midfielder;Left/Centre;8;61;1;0;0;90;0;67;8;1;1;4;0;5;0;2;4;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;1i9wi65k2foqwudeqiyih87hl;Federico Santiago Valverde Dipetta;Federico Valverde;F. Valverde;8;Midfielder;Centre/Right;4;67;1;0;0;89;0;75;4;0;0;2;0;2;0;0;0;0;1;2;1;0;2;0;0;1;0;1;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;39gif4xfy8xddarasbsad56ok;Arda Güler;Arda Güler;A. Güler;15;Midfielder;Right;7;52;1;0;0;82;0;57;7;2;0;0;0;2;0;2;1;0;0;1;1;1;1;8;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;4o9d3hpjlicgce9gtbewyzhn8;Gonzalo García Torres;Gonzalo García;Gonzalo García;16;Striker;Left/Centre;9;14;1;0;0;76;0;16;9;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;5e9ilgrz3tzg9kd1gk3yvrahh;Kylian Mbappé Lottin;Kylian Mbappé;K. Mbappé;10;Striker;Centre/Right;10;27;1;0;0;90;0;35;10;2;0;0;2;0;0;0;0;0;1;4;0;0;1;0;0;1;1;3;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;3jln1gzc0859ymphvq83i0mp5;Brahim Abdelkader Díaz;Brahim Díaz;Brahim Díaz;21;Substitute;Midfielder;0;6;0;0;0;14;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;19z8jmren3eytg7fbuzqv73kl;Trent John Alexander-Arnold;Trent Alexander-Arnold;T. Alexander-Arnold;12;Substitute;Defender;0;10;0;0;0;14;0;14;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;ecmpznived7xp45o7bm96csno;Jorge Cestero Sancho;Jorge Cestero;Cestero;28;Substitute;Midfielder;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;1fkntyd2z8e169yh98k0zst90;Franco Martín Mastantuono;Franco Mastantuono;F. Mastantuono;30;Substitute;Attacker;0;3;0;0;0;8;0;3;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0
