league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;totalScoringAtt;totalThrows;wonCorners;fouls;goalAssist;totalOffside;yellowCard;ontargetScoringAtt;shotOffTarget;totalTackle;wonTackle;totalSubOff;wasFouled;cornerTaken;totalSubOn;goals;redCard
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;b91n9sdabth8oocdawayybdud;Andoni Gorosabel Espinosa;Andoni Gorosabel;Andoni Gorosabel;2;Substitute;Defender;0;4;0;0;0;0;11;0;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;43sv2qpco7dsobxna7z9dugyy;Urko Iruretagoiena Lertxundi;Urko Iruretagoiena Lertxundi;Urko Izeta;25;Substitute;Attacker;0;3;0;0;0;0;18;0;0;4;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;7aoe0u87gxgv9tvgrotcfue7e;Roberto Navarro Muñoz;Robert Navarro;Robert Navarro;23;Substitute;Midfielder;0;13;0;0;0;0;28;0;0;16;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Substitute;Midfielder;0;33;0;0;0;0;45;0;0;41;0;1;2;1;0;0;0;0;0;1;0;2;2;0;2;0;1;1;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;9;Substitute;Attacker;0;4;0;0;0;0;18;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;w503zyr8ipyobglth281uklx;Alejandro Remiro Gargallo;Álex Remiro;Álex Remiro;1;Goalkeeper;Centre;1;21;1;7;1;1;90;3;3;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;d4tdx2ctadv6kc3tbq4as8bmx;Sergio Gómez Martín;Sergio Gómez;Sergio Gómez;17;Defender;Left;3;38;1;0;1;0;90;0;5;46;3;0;1;8;2;1;1;0;0;0;1;3;3;0;2;1;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;48gjuou5eashpj8wbwd18iju1;Igor Zubeldia Elorza;Igor Zubeldia;Igor Zubeldia;5;Defender;Left/Centre;6;36;1;5;1;0;90;0;8;44;6;0;0;0;0;4;0;0;1;0;0;4;3;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;8krgbfnydbtyongkwnsaj43kk;Jon Martín Vicente;Jon Martín;Jon Martín;31;Defender;Centre/Right;5;29;1;0;1;1;90;0;13;30;5;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;2;Defender;Right;2;16;1;0;1;0;90;0;6;29;2;0;0;14;0;2;0;1;0;0;0;9;4;0;3;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;15;Midfielder;Left;11;11;1;0;0;0;85;0;0;14;11;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;dsmcqfl0e1be4ag7czbnolo15;Carlos Soler Barragán;Carlos Soler;Carlos Soler;18;Midfielder;Left/Centre;8;37;1;0;1;2;90;0;7;40;8;0;0;0;0;1;0;0;0;0;0;2;0;0;1;2;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;706la37b8u3v3n6mqtbjs73mc;Jon Gorrotxategi Etxaniz;Jon Gorrotxategi;Jon Gorrotxategi;4;Midfielder;Centre/Right;4;25;1;0;0;0;63;0;3;31;4;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;7pmigpf4yfi6dfih8e1ogdwb9;Gonçalo Manuel Ganchinho Guedes;Gonçalo Manuel Ganchinho Guedes;Gonçalo Guedes;11;Midfielder;Right;7;12;1;0;0;0;77;0;0;14;7;0;3;0;1;1;0;1;0;3;0;3;1;1;3;0;0;1;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Striker;Left/Centre;9;21;1;0;0;0;77;0;1;25;9;0;2;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;9x5uo2wkxp9fk1arygbkl6u0a;Luka Sučić;Luka Sucic;L. Sučić;24;Striker;Centre/Right;10;8;1;0;0;2;63;0;2;15;10;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;a5sz66h4t5kg1umvtth785jis;Wesley Gassova Ribeiro Teixeira;Wesley Gassova Ribeiro Teixeira;Wesley;22;Substitute;Attacker;0;3;0;0;1;0;13;0;1;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;bj929w5yi7lnz36jxsi5qnq7e;Aihen Muñoz Capellán;Aihen Muñoz;Aihen Muñoz;3;Substitute;Defender;0;0;0;0;1;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;dvrk8qmt9ta4c3kvjgsad7t91;Brais Méndez Portela;Brais Méndez;Brais Méndez;23;Substitute;Midfielder;0;6;0;0;0;0;20;0;0;7;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;1;0;1
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;8;Substitute;Midfielder;0;9;0;0;1;0;27;0;5;12;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;euur9yvhgrieu4kl0vdkh244q;Orri Steinn Óskarsson;Orri Óskarsson;O. Óskarsson;9;Substitute;Attacker;0;1;0;0;1;0;13;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
