league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;totalThrows;formationPlace;fouls;totalClearance;totalSubOff;totalTackle;yellowCard;totalOffside;wonTackle;ontargetScoringAtt;totalScoringAtt;blockedScoringAtt;wonCorners;cornerTaken;shotOffTarget;wasFouled;totalSubOn;cleanSheet;goalAssist;goals
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;9ao7l82r1xd2rjnvv5u6plcr9;Diego Javier Llorente Ríos;Diego Llorente;Diego Llorente;3;Defender;Centre/Right;5;33;1;4;0;1;90;0;34;0;5;0;14;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Defender;Right;2;31;1;0;0;0;90;0;43;4;2;0;2;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;733ho2s9aqwwxzbqfiia3b7bp;Álvaro Fidalgo Fernández;Álvaro Fidalgo;Álvaro Fidalgo;15;Midfielder;Left/Centre;8;35;1;0;0;0;87;0;37;0;8;0;2;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;4r6jcuotjs6rz8iwu20996z85;Marc Roca Junqué;Marc Roca;Marc Roca;21;Midfielder;Centre;4;37;1;0;0;0;90;0;39;0;4;1;3;0;2;0;0;2;0;0;0;0;0;0;2;0;1;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;8;Midfielder;Centre/Right;7;31;1;0;0;0;70;0;38;0;7;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;96cbv23es0gucmd2v0qvk3iwa;Abdessamad Ezzalzouli;Abde Ezzalzouli;A. Ezzalzouli;10;Striker;Left/Centre;11;29;1;0;0;1;90;0;35;0;11;2;1;0;1;1;0;0;0;2;0;0;0;2;1;0;1;1;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;a68fosxpgtyxj64ex9f6nget;Cédric Bakambu;Cédric Bakambu;C. Bakambu;11;Striker;Centre;9;6;1;0;0;0;79;0;10;0;9;0;1;1;2;0;1;2;2;3;1;2;0;0;2;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;v22q59d00b5v78rgx7v8z3vu;Antony Matheus dos Santos;Antony Matheus dos Santos;Antony;7;Striker;Centre/Right;10;25;1;0;0;2;87;0;33;2;10;0;1;1;2;0;0;0;1;1;0;1;1;0;1;0;0;0;1
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;5o07mnpidavbe0hqoqzwgom50;Sergi Altimira Clavell;Sergi Altimira;Sergi Altimira;6;Substitute;Midfielder;0;5;0;0;0;0;20;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;evpjdko94awbqbbl5wl9hto7p;Marc Bartra Aregall;Marc Bartra;Marc Bartra;5;Substitute;Defender;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;72pvwj4z6j8xwsgs6zlhr5e6s;Nelson Alexander Deossa Suárez;Nelson Deossa;N. Deossa;18;Substitute;Midfielder;0;2;0;0;0;0;11;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;bqmhsb2bsuuuijw2ci39l01k9;Rodrigo Riquelme Reche;Rodrigo Riquelme;Rodrigo Riquelme;17;Substitute;Midfielder;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0
