league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;totalTackle;totalThrows;wonTackle;yellowCard;totalSubOff;wasFouled;goalAssist;shotOffTarget;totalScoringAtt;totalOffside;wonCorners;cornerTaken;blockedScoringAtt;goals;ontargetScoringAtt;totalSubOn
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;osme4gegtnhlldt4lsqf56ac;Álvaro Daniel Rodríguez Muñoz;Álvaro Rodríguez;Á. Rodríguez;20;Striker;Centre/Right;10;14;1;0;3;0;75;0;1;17;10;0;3;0;2;0;1;0;0;2;4;1;0;0;1;1;1;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;9rr6g0wel9f0noof3d9dwrehg;Adam Boayar Benaisa;Adam Boayar;A. El Mokhtari;32;Substitute;Attacker;0;4;0;0;1;0;30;0;2;6;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;dkdy6ighxc2j05suqc2odry3u;Martim Carvalho Neto;Martim Carvalho Neto;Martim Neto;16;Substitute;Midfielder;0;9;0;0;1;0;30;0;1;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;d87uduceapind7lgv6273xedw;Lucas Antonio Cepeda Barturen;Lucas Cepeda;L. Cepeda;24;Substitute;Attacker;0;5;0;0;0;0;15;0;0;6;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;dfss2zdkn61bbq312zhxlddyh;Léo Pétrot;Léo Pétrot;L. Pétrot;21;Substitute;Defender;0;11;0;0;0;0;16;0;1;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;b8yk8yve4u39s9gjjvedzf6l0;Federico Redondo Solari;Federico Redondo;F. Redondo;5;Substitute;Midfielder;0;13;0;0;1;0;34;0;0;14;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;13;Goalkeeper;Centre;1;36;1;8;1;0;90;2;1;43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;3;Defender;Left;3;47;1;0;1;0;90;0;2;51;3;1;2;7;2;0;0;3;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Left/Centre;6;50;1;0;1;1;90;0;3;55;6;0;3;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;5;Defender;Centre/Right;5;52;1;0;1;0;90;0;2;56;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;cscn06kwqfzo09h0dc5ybt1pl;Jules Olivier Koundé;Jules Koundé;J. Koundé;23;Defender;Right;2;52;1;0;1;0;84;0;4;55;2;1;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;20;Midfielder;Left/Centre;8;32;1;0;1;0;62;0;0;39;8;0;1;0;0;0;1;1;1;2;2;0;1;1;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;ezviixcyaaj162saxs2yl27s9;Frenkie de Jong;Frenkie de Jong;F. de Jong;21;Midfielder;Centre;4;55;1;0;1;1;90;0;0;60;4;2;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Midfielder;Centre/Right;7;34;1;0;1;0;84;0;0;37;7;1;1;0;0;0;1;3;0;3;5;1;1;0;1;0;1;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;2wl6h1rlrfnn2mr65vuo3t815;Raphael Dias Belloli;Raphael Dias Belloli;Raphinha;11;Striker;Left/Centre;11;14;1;0;1;0;45;0;0;22;11;0;1;0;0;0;1;0;0;2;2;0;2;2;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;2szgrzcosfeifh664tgt3mfvt;Ferran Torres García;Ferran Torres;Ferran Torres;7;Striker;Centre;9;14;1;0;1;0;62;0;0;20;9;1;0;0;0;0;1;1;0;4;8;1;0;0;1;1;3;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;10;Striker;Centre/Right;10;41;1;0;1;0;90;0;0;57;10;1;2;0;1;0;0;2;0;1;5;0;3;2;1;1;3;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;awsod0zmnrukk21d4882ji7e1;Ronald Federico Araujo da Silva;Ronald Araujo;R. Araujo;4;Substitute;Defender;0;3;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;4et6r42e7q2ojgaumwnua2kgk;Marc Bernal Casas;Marc Bernal;Marc Bernal;22;Substitute;Midfielder;0;15;0;0;0;0;28;0;2;16;0;1;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;3hht0os2uzu234yq550i3fbe2;Marc Casadó Torras;Marc Casadó;Marc Casadó;17;Substitute;Midfielder;0;1;0;0;0;0;6;0;0;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;afxjicw89683nlpms9yy5x51x;Robert Lewandowski;Robert Lewandowski;R. Lewandowski;9;Substitute;Attacker;0;10;0;0;0;0;28;0;0;11;0;0;0;0;0;0;0;1;0;1;2;0;0;0;1;0;0;1
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;604osk9a3lxpfpkavuziqmn6x;Marcus Rashford;Marcus Rashford;M. Rashford;14;Substitute;Attacker;0;17;0;0;0;0;45;0;1;19;0;0;0;0;0;0;0;2;0;1;3;0;0;3;1;1;1;1
