league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;saves;totalClearance;totalPass;formationPlace;lostCorners;shotOffTarget;totalScoringAtt;totalTackle;wonTackle;wasFouled;fouls;totalSubOff;totalOffside;totalThrows;wonCorners;blockedScoringAtt;cornerTaken;ontargetScoringAtt;yellowCard;totalSubOn
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;9i7lb16qty1t21bnc5h7skclx;Marcos Alonso Mendoza;Marcos Alonso;Marcos Alonso;20;Defender;Left/Centre;4;77;1;1;0;90;0;9;87;4;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;cksi669gcnskpytzh70a43it;Carl Anders Theodor Starfelt;Carl Starfelt;C. Starfelt;2;Defender;Centre;5;69;1;1;0;90;0;3;72;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;79n0dyjagmleor1fpwl25qql0;Javier Rodríguez Galiano;Javi Rodríguez;Javi Rodríguez;32;Defender;Centre/Right;6;76;1;1;0;90;0;4;86;6;0;0;0;0;0;2;0;0;0;13;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;c3sl9ajm4q424r4u37iath3hl;Óscar Mingueza García;Óscar Mingueza;Óscar Mingueza;3;Midfielder;Left;3;26;0;1;0;68;0;0;30;3;0;0;1;1;0;1;0;1;0;3;0;1;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;64ctdbd0w5ikj0fkcuu9jdbhm;Moriba Kourouma Kourouma;Moriba Kourouma Kourouma;I. Moriba;6;Midfielder;Left/Centre;8;22;1;1;0;90;0;1;24;8;1;1;1;2;1;1;4;0;0;0;0;0;0;0;1;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;a39ntr1ek9aavke18yucd0r2s;Miguel Román González;Miguel Román;Miguel Román;16;Midfielder;Centre/Right;7;60;1;1;0;90;0;0;72;7;2;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;530jf9kq6s7dqggz6how0lt04;Jones El Abdellaoui;Jones El Abdellaoui;J. El Abdellaoui;39;Midfielder;Right;2;10;0;1;0;77;0;2;16;2;2;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;e91yegwfliqhfy9yyk19otafo;Williot Theo Swedberg;Williot Swedberg;W. Swedberg;19;Attacking Midfielder;Left/Centre;11;14;0;1;0;68;0;0;16;11;0;0;1;2;1;6;0;1;0;0;0;1;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;9g4ojrys88awchyj6zgmd6oes;Fernando López González;Fer López;Fer López;8;Attacking Midfielder;Centre/Right;10;33;0;1;0;81;0;1;42;10;0;0;0;0;0;3;4;1;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;d12m2oz1lomkc1qxmpht38lat;Borja Iglesias Quintás;Borja Iglesias;Borja Iglesias;7;Striker;Centre;9;13;0;1;0;76;0;0;15;9;0;0;1;1;0;0;2;1;4;0;0;0;0;1;1;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;cs2yx3hiqjsb4i5ul2r5kmdat;Iago Aspas Juncal;Iago Aspas;Iago Aspas;10;Substitute;Attacker;0;5;0;0;0;9;0;0;9;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;5tc1y5n3h4ties7gbc3zd9j6y;Sergio Carreira Vilariño;Sergio Carreira;Sergio Carreira;5;Substitute;Defender;0;17;0;0;0;22;0;0;19;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;9ksvo095xi2t4q4pvgxa836z8;Pablo Durán Fernández;Pablo Durán;Pablo Durán;18;Substitute;Attacker;0;4;0;0;0;22;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;75xbiozismh96vufhrhkng4mi;Javier Rueda García;Javi Rueda;Javi Rueda;17;Substitute;Defender;0;5;0;0;0;13;0;0;7;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;daid84a2zbh8rasleahdp8nis;Hugo Álvarez Antúnez;Hugo Álvarez;Hugo Álvarez;23;Substitute;Midfielder;0;11;0;0;0;14;0;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
