league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;fouls;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;cornerTaken;lostCorners;ontargetScoringAtt;totalSubOff;yellowCard;totalSubOn;totalOffside
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;clrlsy05spf55w39f84b7p3sa;John Chetauya Nwankwo Donald Okeh;John Donald;John Donald;18;Substitute;Defender;0;3;0;0;0;10;0;0;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;2b231y5sxluy2p7lv5kywv4ve;Yago de Santiago Alonso;Yago Santiago;Yago Santiago;7;Substitute;Attacker;0;1;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;amjegysk3et638l4od103c7o5;Sergio Herrera Pirón;Sergio Herrera;Sergio Herrera;1;Goalkeeper;Centre;1;13;1;1;12;90;5;2;27;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;20;Defender;Left;3;28;1;1;0;90;0;3;35;3;0;0;0;0;4;9;3;0;2;0;2;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;5b9awsil5bgqrsc13xsoj35nu;Jorge Herrando Oroz;Jorge Herrando;Jorge Herrando;5;Defender;Left/Centre;6;9;1;1;0;90;0;8;16;6;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;bi8nrmyaxsgbhixw921fzvm5l;Alejandro Catena Marugán;Alejandro Catena;Alejandro Catena;24;Defender;Centre/Right;5;16;1;1;0;90;0;5;24;5;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;3ex56ma2xf94ex429ay35gusp;Valentin André Henri Rosier;Valentin Rosier;V. Rosier;19;Defender;Right;2;18;1;1;0;90;0;2;24;2;1;3;0;1;1;6;0;1;1;0;4;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;1wezo3pjdktc0iqaxze3uh2sq;Iker Muñoz Cameros;Iker Muñoz;Iker Muñoz;8;Defensive Midfielder;Left/Centre;4;14;0;1;0;66;0;1;22;4;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;d3pdr28q2n295ldry2lc1uklx;Lucas Torró Marset;Lucas Torró;Lucas Torró;6;Defensive Midfielder;Centre/Right;8;17;0;1;0;66;0;2;19;8;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;bpf2fcb73l96fwspo72shmkiy;Aimar Oroz Huarte;Aimar Oroz;Aimar Oroz;10;Attacking Midfielder;Left;11;22;1;1;0;90;0;0;34;11;0;2;1;2;6;0;1;1;2;0;0;1;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;d358ce00vstqg3ilinhcc10r8;Víctor Muñoz Villanueva;Víctor Muñoz;Víctor Muñoz;21;Attacking Midfielder;Centre;10;3;0;1;0;67;0;0;4;10;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;9xbo6c8uq29ueuyinngjjiaj9;Rubén García Santos;Rubén García;Rubén García;14;Attacking Midfielder;Right;7;16;0;1;0;85;0;1;22;7;0;4;0;0;2;0;4;0;2;3;0;0;1;1;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;946z96r5q70ryslp3hlhafnx1;Ante Budimir;Ante Budimir;A. Budimir;17;Striker;Centre;9;8;0;1;0;74;0;3;10;9;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;2
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;bvs3rixmobb9gje6kfvhgb52i;Abel Bretones Cruz;Abel Bretones;Abel Bretones;23;Substitute;Defender;0;1;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;cy3c0cj6yy1mokaj0mlk4k9re;Raúl García de Haro;Raúl García;Raúl García;9;Substitute;Attacker;0;2;0;0;0;16;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;f4gpe0pxov8sea9e0fs24h8q2;Jon Moncayola Tollar;Jon Moncayola;Jon Moncayola;7;Substitute;Midfielder;0;4;0;0;0;24;0;0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;6km3r9cspyz7g6343o9mri63u;Raúl Moro Prescoli;Raúl Moro;Raúl Moro;18;Substitute;Attacker;0;4;0;0;0;23;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;b5muwvixv0nq4uylgzxz7302c;Asier Osambela Larraya;Asier Osambela;Asier Osambela;29;Substitute;Midfielder;0;3;0;0;0;24;0;1;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0
