league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;lostCorners;totalSubOff;totalTackle;totalThrows;wonTackle;wasFouled;yellowCard;blockedScoringAtt;totalScoringAtt;wonCorners;cornerTaken;ontargetScoringAtt;shotOffTarget;goals;totalSubOn;totalOffside;goalAssist
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;8aao79b1g77c5jhp1n0w60xrd;Juan Camilo Hernández Suárez;Cucho Hernández;C. Hernández;19;Substitute;Attacker;0;9;0;0;0;45;0;0;14;0;0;0;0;1;0;0;1;0;0;2;0;0;0;2;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;cd0w7dewgwkiiqkg0jty8ae50;Ángel Ortiz Monterrey;Ángel Ortiz;Ángel Ortiz;40;Substitute;Defender;0;12;0;0;0;21;0;0;14;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;bqmhsb2bsuuuijw2ci39l01k9;Rodrigo Riquelme Reche;Rodrigo Riquelme;Rodrigo Riquelme;17;Substitute;Midfielder;0;12;0;0;0;29;0;0;14;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;22;1;3;1;90;2;1;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;2qauzcv74cd8uqfv2ibl52ymt;Luis Alfonso Espino García;Luis Alfonso Espino García;P. Espino;22;Defender;Left;3;31;1;0;1;89;0;2;41;3;2;0;1;1;11;1;1;1;1;1;1;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;cdsidpd0i3ub2tvw47qt813x0;Nobel Mendy;Nobel Mendy;N. Mendy;32;Defender;Left/Centre;6;58;1;4;1;90;0;5;63;6;2;1;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;53;1;2;1;90;0;5;60;5;0;1;0;2;0;1;1;0;0;2;0;0;2;0;0;0;1;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Defender;Right;2;49;1;0;1;90;0;3;54;2;1;0;0;1;3;1;1;0;0;1;0;0;0;1;0;0;0;1
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;f0a2qk3jzxercn67bben5eled;Gerard Gumbau Garriga;Gerard Gumbau;Gerard Gumbau;15;Defensive Midfielder;Left/Centre;4;25;1;0;1;61;0;0;27;4;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;8onruhr4es313aq52xsl7nxlh;Óscar Valentín Martín Luengo;Óscar Valentín;Óscar Valentín;23;Defensive Midfielder;Centre/Right;8;51;1;0;1;90;0;0;56;8;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;66fshzi5f86wt1lwa4kdhiooa;Francisco Pérez Martínez;Fran Pérez;Fran Pérez;21;Attacking Midfielder;Left;11;10;1;0;1;61;0;0;11;11;2;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Attacking Midfielder;Centre;10;35;1;0;1;90;0;1;43;10;2;0;0;2;0;1;1;0;1;2;1;4;1;0;1;0;1;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;73jvx4opw9wvawwpg0bnt8ay2;Ilias Akhomach Chakkour;Ilias Akhomach;I. Akhomach;12;Attacking Midfielder;Right;7;28;1;0;1;89;0;0;31;7;1;0;1;0;1;0;6;0;2;3;3;1;0;1;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;c157xhi78x9cykn7xz816bjd;Jorge de Frutos Sebastián;Jorge de Frutos;Jorge de Frutos;19;Striker;Centre;9;4;1;0;1;77;0;0;5;9;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;amt4voyjzhnvr55t08hzlw50q;Josep María Chavarría Pérez;Pep Chavarría;Pep Chavarría;3;Substitute;Defender;0;7;0;0;0;13;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;1ho7koiegfhsuevuum2meibu2;Pathé Ismaël Ciss;Pathé Ciss;P. Ciss;6;Substitute;Midfielder;0;18;0;0;0;29;0;1;19;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;7vb4xrwk7sbgpxzgiwwbt4s89;Pedro Díaz Fanjul;Pedro Díaz;Pedro Díaz;4;Substitute;Midfielder;0;2;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Substitute;Midfielder;0;6;0;0;0;29;0;1;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;a045sz2acqbfgyq9puwsu8sx6;Randy Nteka;Randy Nteka;Randy Nteka;11;Substitute;Midfielder;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
