league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalPass;formationPlace;fouls;totalClearance;totalTackle;totalThrows;wasFouled;wonTackle;lostCorners;totalSubOff;totalOffside;yellowCard;shotOffTarget;totalScoringAtt;redCard;cornerTaken;wonCorners;blockedScoringAtt;ontargetScoringAtt;totalSubOn;cleanSheet;saves;goals;goalAssist
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;cei4ujo2jqzc9f0tmi8xgll62;Luis Ismael Vázquez;Luis Vázquez;L. Vázquez;19;Striker;Centre/Right;10;1;1;0;1;76;5;10;0;0;1;0;5;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;b3xdln1shzyzwkhzdmbb2fqax;Veljko Birmančević;Veljko Birmancevic;V. Birmančević;20;Substitute;Midfielder;0;3;0;0;0;14;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;alz5rwbxued4hgkts0panocus;Adrián Liso Lahoz;Adrián Liso;Adrián Liso;23;Substitute;Attacker;0;4;0;0;0;23;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;1riebanoqbl7brs1bm3lkgxlg;Mario Martín Rielves;Mario Martín;Mario Martín;6;Substitute;Midfielder;0;5;0;0;0;14;6;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;dkt9892ixwnz1bkmgileo71sl;Diego Rico Salguero;Diego Rico;Diego Rico;16;Substitute;Defender;0;6;0;0;0;23;9;0;0;1;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;7jtc6yk5xu4cm1an97wrgozbp;Odysseas Vlachodimos;Odysseas Vlachodimos;O. Vlachodimos;1;Goalkeeper;Centre;1;18;1;5;0;90;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;9nwkxgbl8t933pzu60ye4xxxw;Enrique Jesús Salas Valiente;Kike Salas;Kike Salas;4;Defender;Left/Centre;4;65;1;0;0;90;79;4;0;4;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;6vvwhgic29fekmmj2cg62ytp1;Nemanja Gudelj;Nemanja Gudelj;N. Gudelj;6;Defender;Centre;5;81;1;1;0;90;90;5;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;2lwjtphx3bkjty9sds520l1ey;Tanguy-Austin Nianzou Kouassi;Tanguy Nianzou;T. Nianzou;5;Defender;Centre/Right;6;51;1;0;0;55;59;6;2;2;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;8yak0o9o7z5j5ribga3ui2cb9;Gabriel Alonso Suazo Urbina;Gabriel Suazo;G. Suazo;12;Wing Back;Left;3;13;1;0;0;45;16;3;2;2;3;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;bvw1jgmhfyc896gfi6uj0skwl;César Azpilicueta Tanco;César Azpilicueta;César Azpilicueta;3;Wing Back;Right;2;47;1;0;0;90;54;2;0;3;1;5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;20;Midfielder;Left/Centre;11;49;1;0;0;90;53;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;c8mp2wwwyvy930vfjnivg2hre;Lucien Jefferson Agoumé;Lucien Agoumé;L. Agoumé;18;Midfielder;Centre;8;36;1;0;0;90;52;8;4;1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;boa0e436nc3u53cumlao9ulex;Batista Adélino Mendy;Batista Mendy;B. Mendy;19;Midfielder;Centre/Right;7;12;1;0;0;45;15;7;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;6mf11pv0pfvyl9vom1i1pi0yy;Akor Jerome Adams;Akor Adams;A. Adams;9;Striker;Left/Centre;9;11;1;0;0;89;14;9;3;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;xu7mykgl15kaib3olilmsez9;Neal Maupay;Neal Maupay;N. Maupay;17;Striker;Centre/Right;10;11;1;0;0;80;15;10;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;6jq376l673aizjxxhhos2j52i;José Ángel Carmona Navarro;José Ángel Carmona;José Ángel Carmona;2;Substitute;Defender;0;13;0;0;0;35;13;0;1;4;0;4;1;0;1;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;6ufkq71qh9wrfyaez5yi94e09;Chidera Ejuke;Chidera Ejuke;C. Ejuke;21;Substitute;Attacker;0;18;0;0;0;45;21;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;42laa1qwbzlcruyrmlg5o1fu2;Gerard Fernández Castellano;Gerard Fernández Castellano;Peque Fernández;14;Substitute;Attacker;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;7atmb373dynu9s9gnl613ox5h;Adnan Januzaj;Adnan Januzaj;A. Januzaj;24;Substitute;Midfielder;0;17;0;0;0;45;20;0;1;1;1;1;0;1;0;0;0;0;1;1;0;2;1;0;0;1;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;vl1b0gayryiqvl5dlukpmswl;Alexis Alejandro Sánchez Sánchez;Alexis Sánchez;A. Sánchez;10;Substitute;Attacker;0;4;0;0;0;10;8;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
