league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalPass;formationPlace;totalClearance;totalThrows;wonCorners;totalTackle;wonTackle;fouls;ontargetScoringAtt;shotOffTarget;totalScoringAtt;wasFouled;blockedScoringAtt;goalAssist;totalSubOff;cornerTaken;goals;totalSubOn;goalsConceded;totalOffside
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Defender;Left;3;13;0;1;0;3;90;0;21;3;4;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;9t88fceutc2x108ga0qkzkafp;Martin Valjent;Martin Valjent;M. Valjent;24;Defender;Left/Centre;6;19;0;1;2;0;90;0;21;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;3v254jhofauiadp9vzb7rb21g;David López Guijarro;David López;David López;27;Defender;Centre/Right;5;14;0;1;3;3;90;0;17;5;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;22dchchxwrsty67ultrs61qz9;Pablo Carmine Maffeo Becerra;Pablo Maffeo;Pablo Maffeo;23;Defender;Right;2;15;0;1;0;1;90;0;19;2;2;4;0;4;3;1;0;0;1;0;1;0;0;0;0;0;3;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Defensive Midfielder;Left/Centre;4;20;0;1;1;1;90;0;24;4;2;0;0;3;3;3;0;0;0;1;0;0;0;0;0;0;3;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Defensive Midfielder;Centre/Right;8;22;0;1;0;2;77;0;29;8;4;0;0;3;3;2;0;0;0;3;0;0;1;0;0;0;2;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;4cuha2o4qsp1tb8yhqu3ntij8;Jan Virgili Tenas;Jan Virgili;Jan Virgili;17;Attacking Midfielder;Left;11;3;0;1;0;0;62;0;8;11;0;0;1;2;2;0;2;0;2;0;0;0;1;0;0;0;2;2
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;5kodjbsarkql4vhs126p2vhwq;Pablo Torre Carral;Pablo Torre;Pablo Torre;20;Attacking Midfielder;Centre;10;10;0;1;0;0;62;0;14;10;0;0;0;1;0;1;0;0;1;1;1;0;1;2;0;0;2;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;5tsp2m5z3xie07ax0wq1qqsix;Mateu Jaume Morey Bauzà;Mateu Morey;Mateu Morey;2;Attacking Midfielder;Right;7;5;0;1;0;0;62;0;9;7;7;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2;1
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;3pwr7lqvo4o08c4nvzqpuue39;Vedat Muriqi;Vedat Muriqi;V. Muriqi;7;Striker;Centre;9;11;0;1;0;0;77;0;21;9;0;0;0;2;1;0;0;1;1;2;0;0;1;0;0;0;2;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Substitute;Midfielder;0;8;0;0;0;0;28;0;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;9d4cokmqyy9vabji5g0ascavo;Mateo Joseph Fernández-Regatillo;Mateo Joseph;Mateo Joseph;18;Substitute;Attacker;0;2;0;0;0;0;28;0;3;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;4rcsvuxnotyjoo72f8okudh5g;Javier Llabrés Exposito;Javi Llabrés;Javi Llabrés;19;Substitute;Attacker;0;3;0;0;0;0;13;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;12qc3dkodeb8ykg6pc0kqf2l1;Manuel Morlanes Ariño;Manu Morlanes;Manu Morlanes;8;Substitute;Midfielder;0;4;0;0;0;0;13;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;2td3iejdken4orcduqrdutrhm;Antonio Sánchez Navarro;Antonio Sánchez;Antonio Sánchez;6;Substitute;Midfielder;0;6;0;0;0;0;28;0;7;0;0;1;1;2;1;0;2;0;2;0;0;0;0;0;0;1;1;0
