league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penaltyFaced;penaltySave;saves;totalClearance;totalPass;formationPlace;fouls;goals;ontargetScoringAtt;totalScoringAtt;totalTackle;wonTackle;shotOffTarget;totalSubOff;totalThrows;yellowCard;penaltyConceded;wasFouled;cornerTaken;totalOffside;wonCorners;blockedScoringAtt;totalSubOn;goalAssist;penaltyWon
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;xu7mykgl15kaib3olilmsez9;Neal Maupay;Neal Maupay;N. Maupay;17;Striker;Centre/Right;10;19;1;0;1;0;90;0;0;0;0;23;10;0;0;0;3;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;6ufkq71qh9wrfyaez5yi94e09;Chidera Ejuke;Chidera Ejuke;C. Ejuke;21;Substitute;Attacker;0;16;0;0;0;0;45;0;0;0;0;18;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;2;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;6bj5k49arillmrgqk04bxvx1w;Joaquín Martínez Gauna;Joaquín Martínez Gauna;Oso;36;Substitute;Defender;0;19;0;0;0;0;45;0;0;0;0;22;0;0;0;1;2;0;0;1;0;4;0;0;2;3;1;1;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;20;Substitute;Midfielder;0;17;0;0;0;0;27;0;0;0;0;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;vl1b0gayryiqvl5dlukpmswl;Alexis Alejandro Sánchez Sánchez;Alexis Sánchez;A. Sánchez;10;Substitute;Attacker;0;8;0;0;0;0;16;0;0;0;1;8;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;7j2h7bq14b9n6xephp8vchfu2;Juan Luis Sánchez Velasco;Juanlu Sánchez;Juanlu Sánchez;16;Substitute;Midfielder;0;18;0;0;0;1;45;0;0;0;1;19;0;0;0;0;0;5;3;0;0;4;0;0;0;0;0;0;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;eavhyxb9dfjh0jp5yzg8p8udx;Paulo Dino Gazzaniga Farias;Paulo Gazzaniga;P. Gazzaniga;13;Goalkeeper;Centre;1;26;1;8;1;0;90;0;0;2;2;41;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;2nq5nzq35tfwc7po29dtwqp78;Arnau Martínez López;Arnau Martínez;Arnau Martínez;4;Defender;Left;3;26;1;0;1;2;90;0;0;0;6;33;3;1;0;0;1;3;2;1;0;6;0;0;2;0;0;1;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;17;Defender;Left/Centre;6;63;1;0;1;1;90;0;0;0;7;70;6;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;bh4p6egq7e7htivuu0qdjqiac;Vitor de Oliveira Nunes dos Reis;Vitor de Oliveira Nunes dos Reis;Vitor Reis;12;Defender;Centre/Right;5;38;1;0;1;1;90;0;0;0;2;44;5;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;eku9q64i0rwdxytris5ahfyms;Hugo Rincón Lumbreras;Hugo Rincón;Hugo Rincón;2;Defender;Right;2;27;1;0;1;0;90;0;0;0;1;36;2;3;0;0;1;2;2;1;0;6;0;0;3;0;0;0;0;0;1;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;9um7x9zd0e000zt57l3yearqh;Iván Martín Núñez;Iván Martín;Iván Martín;23;Defensive Midfielder;Left/Centre;4;35;1;0;1;0;89;0;0;0;0;38;4;2;0;0;0;2;2;0;1;0;1;0;1;0;0;0;0;0;0;1
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;e3czx0nsuw10acnftbr8ud0bt;Francisco José Beltrán Peinado;Fran Beltrán;Fran Beltrán;8;Defensive Midfielder;Centre/Right;8;36;1;0;0;0;56;0;0;0;3;37;8;1;0;1;2;3;3;0;1;0;0;0;0;0;0;1;1;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;cjd62gwj9ptwrrtu6y6xnpeui;Bryan Gil Salvatierra;Bryan Gil;Bryan Gil;21;Attacking Midfielder;Left;11;23;1;0;0;0;73;0;0;0;0;27;11;0;0;1;2;2;2;0;1;0;0;0;2;1;0;2;1;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;ejcyvgclry4g5pc2rtptifphx;Thomas Benoît Lemar;Thomas Lemar;T. Lemar;11;Attacking Midfielder;Centre;10;22;1;0;0;0;74;0;0;0;1;22;10;1;1;2;3;0;0;0;1;0;0;0;2;4;0;1;1;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;3auwtiburdxrp2i5me2d97f11;Viktor Tsygankov;Viktor Tsygankov;V. Tsygankov;15;Attacking Midfielder;Right;7;21;1;0;1;0;90;0;0;0;0;26;7;0;0;1;4;2;2;2;0;0;0;0;2;1;0;1;1;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;32ofi0z0euiqvxt5jk8o1uzxm;Vladyslav Vanat;Vladyslav Vanat;V. Vanat;19;Striker;Centre;9;5;1;0;0;0;45;0;0;0;0;6;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;b3sexumsdp9m96rkp5da0r47o;Claudio Candelmo Jeremías Echeverri;Claudio Echeverri;C. Echeverri;14;Substitute;Midfielder;0;13;0;0;1;0;45;0;0;0;0;13;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;8nxr373i7g1m2ch2lk6k03ckq;Alejandro Francés Torrijo;Alejandro Francés;Alejandro Francés;16;Substitute;Defender;0;6;0;0;1;1;16;0;0;0;2;10;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;59234as8h70fejyfm7492np3p;Axel Laurent Angel Lambert Witsel;Axel Witsel;A. Witsel;20;Substitute;Defender;0;12;0;0;1;0;34;0;0;0;2;17;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;25h51j4zz5m180na6sy5ybbpw;Joel Roca Casals;Joel Roca;Joel Roca;3;Substitute;Midfielder;0;0;0;0;1;0;17;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;6navc0x6p4yqy76zyo3zocwr9;Cristhian Ricardo Stuani Curbelo;Cristhian Stuani;C. Stuani;7;Substitute;Attacker;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
