league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;formationPlace;blockedScoringAtt;totalClearance;totalScoringAtt;totalThrows;wasFouled;wonCorners;fouls;shotOffTarget;totalTackle;wonTackle;totalSubOff;cornerTaken;ontargetScoringAtt;totalOffside;totalSubOn;cleanSheet;yellowCard;goals
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;48gjuou5eashpj8wbwd18iju1;Igor Zubeldia Elorza;Igor Zubeldia;Igor Zubeldia;5;Defender;Centre/Right;5;48;1;0;0;0;90;0;56;5;0;2;1;0;1;1;2;1;2;1;0;0;0;0;0;1;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;2;Defender;Right;2;40;1;0;0;0;90;0;47;2;0;1;0;13;0;1;2;0;4;2;0;0;0;0;0;1;1;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;8;Defensive Midfielder;Left/Centre;4;44;1;0;0;0;90;0;56;4;0;0;1;0;0;0;2;0;3;2;0;0;1;0;0;1;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;706la37b8u3v3n6mqtbjs73mc;Jon Gorrotxategi Etxaniz;Jon Gorrotxategi;Jon Gorrotxategi;4;Defensive Midfielder;Centre/Right;8;59;1;0;0;0;84;0;68;8;0;1;0;0;2;0;3;0;1;0;1;0;0;0;0;0;1;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;6e4d1o09sl2ovlyyvhyd5xboq;Arsen Zakharyan;Arsen Zakharyan;A. Zakharyan;21;Attacking Midfielder;Left;11;15;1;0;0;0;63;0;16;11;2;0;3;0;0;2;3;1;1;1;1;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;dsmcqfl0e1be4ag7czbnolo15;Carlos Soler Barragán;Carlos Soler;Carlos Soler;18;Attacking Midfielder;Centre;10;31;1;0;0;1;63;0;38;10;0;0;2;0;0;0;1;1;0;0;1;5;1;0;0;0;0;1
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;7pmigpf4yfi6dfih8e1ogdwb9;Gonçalo Manuel Ganchinho Guedes;Gonçalo Manuel Ganchinho Guedes;Gonçalo Guedes;11;Attacking Midfielder;Right;7;32;1;0;0;0;90;0;38;7;0;0;2;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Striker;Centre;9;13;1;0;0;0;84;0;19;9;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;21vx56lpd276xqbu11ubkf78q;Ander Barrenetxea Muguruza;Ander Barrenetxea;Ander Barrenetxea;7;Substitute;Attacker;0;11;0;0;0;0;27;0;13;0;0;0;1;0;1;0;2;1;1;1;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;c320492cbp1otejfp1i1oane1;Yangel Clemente Herrera Ravelo;Yangel Herrera;Y. Herrera;12;Substitute;Midfielder;0;2;0;0;0;0;6;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;15;Substitute;Midfielder;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;9x5uo2wkxp9fk1arygbkl6u0a;Luka Sučić;Luka Sucic;L. Sučić;24;Substitute;Midfielder;0;11;0;0;0;0;27;0;16;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
