league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;ontargetScoringAtt;totalClearance;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;lostCorners;totalSubOff;fouls;shotOffTarget;totalOffside;cornerTaken;yellowCard;blockedScoringAtt;goals;totalSubOn;goalAssist
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;18;Defensive Midfielder;Centre/Right;8;13;1;0;1;86;0;21;8;0;0;0;0;0;0;0;0;1;1;3;0;0;0;1;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Attacking Midfielder;Left;11;9;1;0;1;45;0;15;11;0;0;2;0;0;0;0;0;0;1;2;2;0;1;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;dfcbvsb7o18lavmonbp5ucwoa;Oihan Sancet Tirapu;Oihan Sancet;Oihan Sancet;8;Attacking Midfielder;Centre;10;7;1;0;1;86;0;15;10;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;9;Attacking Midfielder;Right;7;8;1;0;1;90;0;16;7;1;1;2;2;0;1;2;2;0;0;2;0;0;0;0;1;1;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;11;Striker;Centre;9;6;1;0;1;90;0;17;9;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;do5tibysnhbnbw18nwdo39kut;Alejandro Berenguer Remiro;Alex Berenguer;Alex Berenguer;7;Substitute;Attacker;0;9;0;0;0;45;0;11;0;1;1;1;0;1;0;1;0;0;0;0;0;0;3;0;0;0;1;1
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;b91n9sdabth8oocdawayybdud;Andoni Gorosabel Espinosa;Andoni Gorosabel;Andoni Gorosabel;2;Substitute;Defender;0;3;0;0;0;17;0;4;0;0;1;0;3;8;0;0;2;1;0;0;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;30;Substitute;Midfielder;0;13;0;0;0;31;0;16;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;esru3us4k7xaj6hjycz78pdsk;Selton Sued Sánchez Camilo;Selton Sánchez;Selton Sánchez;44;Substitute;Midfielder;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;83n1qv6ypl625aolzjeqifv11;Mikel Vesga Arruti;Mikel Vesga;Mikel Vesga;6;Substitute;Midfielder;0;2;0;0;0;4;0;4;0;0;1;0;2;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0
