league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;cornerTaken;fouls;goalAssist;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;blockedScoringAtt;goals;ontargetScoringAtt;shotOffTarget;totalScoringAtt;totalSubOff;totalSubOn
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;e35v2pspdgl7t769d57e67ob9;Aritz Elustondo Irribaria;Aritz Elustondo;Aritz Elustondo;6;Substitute;Defender;0;18;0;0;1;0;34;0;0;19;2;0;0;1;0;2;7;0;2;0;0;0;1;0;1;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;c320492cbp1otejfp1i1oane1;Yangel Clemente Herrera Ravelo;Yangel Herrera;Y. Herrera;12;Substitute;Midfielder;0;20;0;0;3;1;45;0;2;25;1;0;0;2;0;1;0;1;0;0;1;0;0;0;1;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;5nluxvc0wi0u1d5zcy7be5rkl;Álvaro Odriozola Arzallus;Álvaro Odriozola;Álvaro Odriozola;20;Substitute;Defender;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;6e4d1o09sl2ovlyyvhyd5xboq;Arsen Zakharyan;Arsen Zakharyan;A. Zakharyan;21;Substitute;Midfielder;0;4;0;0;1;0;13;0;0;7;1;0;0;1;0;0;0;0;0;0;1;0;2;1;4;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;euur9yvhgrieu4kl0vdkh244q;Orri Steinn Óskarsson;Orri Óskarsson;O. Óskarsson;9;Substitute;Attacker;0;6;0;0;1;0;37;0;0;7;0;0;0;0;0;1;0;0;1;0;0;2;2;0;2;0;1
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;1j75xt37w8q04ixbyjwhtfh05;Aarón Escandell Banacloche;Aarón Escandell;Aarón Escandell;13;Goalkeeper;Centre;1;18;1;6;3;1;90;5;1;36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;6p8xl2smgf1ta7txpcj7cabu2;Javier López Carballo;Javi López;Javi López;25;Defender;Left;3;20;1;0;3;3;90;0;3;31;2;3;0;3;0;3;8;0;3;0;0;0;0;0;0;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;9iqmeo87l56hr3gymmxgkxysq;David Mota Veiga Teixeira do Carmo;David Mota Veiga Teixeira do Carmo;David Carmo;16;Defender;Left/Centre;6;25;1;0;3;0;90;0;5;34;0;6;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;9jw0h4escxh3eqz8oh860r3yt;Eric Bertrand Bailly;Eric Bailly;E. Bailly;2;Defender;Centre/Right;5;16;1;0;3;1;90;0;3;21;2;5;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;akjusy9dt1qd2fjhttviek6ol;Ignacio Vidal Miralles;Nacho Vidal;Nacho Vidal;22;Defender;Right;2;19;1;0;3;0;90;0;4;22;0;2;0;1;0;5;5;0;4;0;0;0;1;0;1;0;0
