league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;blockedScoringAtt;cornerTaken;fouls;lostCorners;shotOffTarget;totalClearance;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;wasFouled;totalSubOff;totalOffside;goalAssist;goals;ontargetScoringAtt;totalSubOn;yellowCard
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;9x5uo2wkxp9fk1arygbkl6u0a;Luka Sučić;Luka Sucic;L. Sučić;24;Striker;Centre/Right;10;5;1;0;0;29;0;6;10;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;2;Substitute;Defender;0;8;0;0;0;25;0;9;0;0;0;2;0;0;0;0;2;7;1;2;0;0;0;0;0;0;1;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;c320492cbp1otejfp1i1oane1;Yangel Clemente Herrera Ravelo;Yangel Herrera;Y. Herrera;12;Substitute;Midfielder;0;6;0;0;0;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;1fcmd6qaiira468e8mph4sis4;Job Nguono Ochieng;Job Ochieng;J. Ochieng;47;Substitute;Attacker;0;9;0;0;0;25;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;8;Substitute;Midfielder;0;19;0;0;1;61;0;20;0;0;0;0;0;3;0;3;2;0;0;2;2;0;0;0;0;0;1;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;euur9yvhgrieu4kl0vdkh244q;Orri Steinn Óskarsson;Orri Óskarsson;O. Óskarsson;9;Substitute;Attacker;0;1;0;0;0;8;0;3;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;1;1;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;4mxx1oxkiexm0ha34utcmb17t;Ignacio Peña Sotorres;Iñaki Peña;Iñaki Peña;13;Goalkeeper;Centre;1;60;1;2;3;90;0;81;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;clrlsy05spf55w39f84b7p3sa;John Chetauya Nwankwo Donald Okeh;John Donald;John Donald;18;Defender;Left/Centre;6;25;1;0;2;55;0;27;6;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;8nbnru9t2qxaotxw0hiaocdt5;Víctor Chust García;Victor Chust;Víctor Chust;23;Defender;Centre;4;81;1;5;2;72;0;82;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;7o7vwlqxknci1fymzkn9hug6i;David Affengruber;David Affengruber;D. Affengruber;22;Defender;Centre/Right;5;61;1;0;3;90;0;68;5;0;0;1;0;1;1;1;2;1;0;1;0;0;0;0;0;0;0;1
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;90ga4jxu6ydpoliajft8w9y39;Aleix Febas Pérez;Aleix Febas;Aleix Febas;14;Defensive Midfielder;Centre;8;61;1;0;3;90;0;69;8;0;0;1;0;0;2;1;1;0;0;0;1;0;0;0;0;1;0;1
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;5mgmcero3ui4a24v1w1upx3sa;Germán Valera Karabinaite;Germán Valera;Germán Valera;11;Midfielder;Left;3;29;1;0;3;90;0;38;3;1;2;1;0;1;0;2;0;2;1;0;0;0;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;dfss2zdkn61bbq312zhxlddyh;Léo Pétrot;Léo Pétrot;L. Pétrot;21;Midfielder;Right;2;43;1;0;2;73;0;50;2;0;0;0;1;0;0;0;6;4;0;4;2;1;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;dkdy6ighxc2j05suqc2odry3u;Martim Carvalho Neto;Martim Carvalho Neto;Martim Neto;16;Attacking Midfielder;Left/Centre;11;19;1;0;2;55;0;21;11;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;dce6e4b9ckqkxj1zpsh8poz55;Grady George Diangana;Grady Diangana;G. Diangana;19;Attacking Midfielder;Centre/Right;7;26;1;0;2;79;0;29;7;0;0;1;0;2;0;2;2;0;1;1;2;1;0;0;0;0;0;1
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;dhhmffih4gl51nlu92hfctqs5;André Miguel Valente da Silva;André Miguel Valente da Silva;André Silva;9;Striker;Left/Centre;10;18;1;0;3;90;0;21;10;0;0;1;0;1;1;4;1;1;0;1;6;0;0;0;1;3;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;osme4gegtnhlldt4lsqf56ac;Álvaro Daniel Rodríguez Muñoz;Álvaro Rodríguez;Á. Rodríguez;20;Striker;Centre/Right;9;14;1;0;3;90;0;25;9;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;z0qe6u5fvgrjy0jzk1qhbgq2;Marc Aguado Pallarés;Marc Aguado;Marc Aguado;8;Substitute;Midfielder;0;31;0;0;1;35;0;35;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0
