league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;formationPlace;fouls;lostCorners;totalTackle;wasFouled;wonTackle;yellowCard;totalSubOff;totalOffside;totalThrows;goals;ontargetScoringAtt;totalScoringAtt;redCard;secondYellow;blockedScoringAtt;shotOffTarget;totalSubOn;saves;wonCorners;cornerTaken;goalAssist
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;6ufkq71qh9wrfyaez5yi94e09;Chidera Ejuke;Chidera Ejuke;C. Ejuke;21;Substitute;Attacker;0;1;0;0;0;20;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;42laa1qwbzlcruyrmlg5o1fu2;Gerard Fernández Castellano;Gerard Fernández Castellano;Peque Fernández;14;Substitute;Attacker;0;2;0;0;0;9;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;8wwn9qai1bpesujve04sb225m;Federico Agustín Gattoni;Federico Gattoni;F. Gattoni;22;Substitute;Defender;0;1;0;0;0;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;boa0e436nc3u53cumlao9ulex;Batista Adélino Mendy;Batista Mendy;B. Mendy;19;Substitute;Midfielder;0;3;0;0;0;29;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;45rxt159xjefvxlfgeykclw8a;Isaac Romero Bernal;Isaac Romero;Isaac Romero;7;Substitute;Attacker;0;6;0;0;0;20;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;c7i0lduij4vsnluxisdnaxsk5;Antonio Sivera Salvá;Antonio Sivera;Antonio Sivera;1;Goalkeeper;Centre;1;12;1;1;1;90;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;2ww626a9v31b072prdx0xf1g4;Youssef Enríquez Lekhedim;Youssef Enríquez;Y. Enríquez;3;Defender;Left;3;33;1;0;1;90;0;43;3;2;0;0;3;0;0;0;0;10;0;0;1;0;0;1;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;7bs0ph4yksf6lvkg91u9nqzqi;Jon Pacheco Dozagarat;Jon Pacheco;Jon Pacheco;5;Defender;Left/Centre;6;96;1;0;1;90;4;103;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;658ed5dqfrdd5fe7ayo9eo1rd;Facundo Tomás Garcés;Facundo Garcés;F. Garcés;2;Defender;Centre/Right;5;74;1;0;1;90;6;79;5;2;0;0;1;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;9tw6rz3lfmn06fzsabtx9ei95;Facundo Nahuel Tenaglia;Nahuel Tenaglia;N. Tenaglia;14;Defender;Right;2;54;1;0;1;90;0;63;2;2;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;eiqt71z69beq7akuhot0foset;Carles Aleña Castillo;Carles Aleñá;Carles Aleñá;10;Midfielder;Left;11;39;1;0;1;84;0;40;11;2;0;0;0;0;0;1;0;0;0;0;3;0;0;1;2;0;0;0;2;1
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;4zve4017u2i3zvxlnjruv25t5;Antonio Blanco Conde;Antonio Blanco;Antonio Blanco;8;Midfielder;Left/Centre;8;37;1;0;1;45;2;45;8;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;28psc296gj3umo59qqha8jil1;Denis Suárez Fernández;Denis Suárez;Denis Suárez;4;Midfielder;Centre/Right;4;17;1;0;1;45;0;22;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;evyeubmelkx90xby5p9i38woa;Calebe Gonçalves Ferreira da Silva;Calebe Gonçalves Ferreira da Silva;Calebe;20;Midfielder;Right;7;11;1;0;1;45;0;13;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;9ivrglgy0tibv881e1a93psr9;Lucas Ariel Boyé;Lucas Boyé;L. Boyé;15;Striker;Left/Centre;9;13;1;0;1;90;1;16;9;1;0;0;6;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;1nd8l0ofw9x779c0ufwbbo4ph;Antonio Martínez López;Toni Martínez;Toni Martínez;11;Striker;Centre/Right;10;12;1;0;1;90;6;22;10;2;0;0;2;0;0;0;0;0;1;1;4;0;0;1;2;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;cme92rbmqszu51sjm99ho8a21;Ander Guevara Lajo;Ander Guevara;Ander Guevara;6;Substitute;Midfielder;0;41;0;0;0;45;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;bccp1nvtoc3n1q4g4sw1p7ro5;Jon Guridi Aldalur;Jon Guridi;Jon Guridi;18;Substitute;Midfielder;0;3;0;0;0;6;0;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;eqw6fu3no9qxejk17tqgeey5m;Pablo Ibáñez Lumbreras;Pablo Ibáñez;Pablo Ibáñez;19;Substitute;Midfielder;0;36;0;0;0;45;1;39;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;350ehsdbvwysbfxgeian91rf8;Ángel Pérez Hidalgo;Ángel Pérez;Ángel Pérez;7;Substitute;Defender;0;15;0;0;0;45;0;20;0;1;0;2;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
