league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;totalClearance;totalThrows;fouls;totalTackle;wonTackle;yellowCard;lostCorners;wasFouled;wonCorners;goals;ontargetScoringAtt;totalScoringAtt;totalSubOff;cornerTaken;blockedScoringAtt;goalAssist;shotOffTarget;totalSubOn;totalOffside
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;v22q59d00b5v78rgx7v8z3vu;Antony Matheus dos Santos;Antony Matheus dos Santos;Antony;7;Striker;Centre/Right;10;24;1;0;2;90;0;34;10;0;0;2;3;2;1;0;4;0;1;1;2;0;1;0;0;1;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;5o07mnpidavbe0hqoqzwgom50;Sergi Altimira Clavell;Sergi Altimira;Sergi Altimira;6;Substitute;Midfielder;0;10;0;0;1;20;0;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;a68fosxpgtyxj64ex9f6nget;Cédric Bakambu;Cédric Bakambu;C. Bakambu;11;Substitute;Attacker;0;0;0;0;1;20;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;7jtc6yk5xu4cm1an97wrgozbp;Odysseas Vlachodimos;Odysseas Vlachodimos;O. Vlachodimos;1;Goalkeeper;Centre;1;16;1;4;2;90;0;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;9nwkxgbl8t933pzu60ye4xxxw;Enrique Jesús Salas Valiente;Kike Salas;Kike Salas;4;Defender;Left/Centre;4;59;1;0;2;90;0;73;4;4;5;5;6;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;6vvwhgic29fekmmj2cg62ytp1;Nemanja Gudelj;Nemanja Gudelj;N. Gudelj;6;Defender;Centre;5;70;1;0;2;90;0;70;5;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;bvw1jgmhfyc896gfi6uj0skwl;César Azpilicueta Tanco;César Azpilicueta;César Azpilicueta;3;Defender;Centre/Right;6;64;1;0;2;74;0;68;6;0;1;1;3;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;8yak0o9o7z5j5ribga3ui2cb9;Gabriel Alonso Suazo Urbina;Gabriel Suazo;G. Suazo;12;Midfielder;Left;3;18;1;0;2;45;0;22;3;0;2;2;2;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;20;Midfielder;Left/Centre;8;51;1;0;2;89;0;54;8;0;1;2;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;c8mp2wwwyvy930vfjnivg2hre;Lucien Jefferson Agoumé;Lucien Agoumé;L. Agoumé;18;Midfielder;Centre/Right;7;46;1;0;2;90;0;54;7;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;6jq376l673aizjxxhhos2j52i;José Ángel Carmona Navarro;José Ángel Carmona;José Ángel Carmona;2;Midfielder;Right;2;16;1;0;2;45;0;20;2;0;7;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;vl1b0gayryiqvl5dlukpmswl;Alexis Alejandro Sánchez Sánchez;Alexis Sánchez;A. Sánchez;10;Attacking Midfielder;Left/Centre;11;25;1;0;2;70;0;32;11;0;0;1;0;0;0;0;2;1;1;1;2;1;0;0;0;1;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;7j2h7bq14b9n6xephp8vchfu2;Juan Luis Sánchez Velasco;Juanlu Sánchez;Juanlu Sánchez;16;Attacking Midfielder;Centre/Right;10;38;1;0;2;90;0;39;10;1;2;1;2;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;6mf11pv0pfvyl9vom1i1pi0yy;Akor Jerome Adams;Akor Adams;A. Adams;9;Striker;Centre;9;18;1;0;2;90;0;21;9;1;0;0;0;0;0;0;1;0;0;3;4;0;0;0;0;1;0;2
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;6ufkq71qh9wrfyaez5yi94e09;Chidera Ejuke;Chidera Ejuke;C. Ejuke;21;Substitute;Attacker;0;18;0;0;0;45;0;22;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;2;0;0;1;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;7atmb373dynu9s9gnl613ox5h;Adnan Januzaj;Adnan Januzaj;A. Januzaj;24;Substitute;Midfielder;0;1;0;0;0;16;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;1;1;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;6bj5k49arillmrgqk04bxvx1w;Joaquín Martínez Gauna;Joaquín Martínez Gauna;Oso;36;Substitute;Defender;0;16;0;0;0;45;0;23;0;0;3;2;2;2;0;0;2;0;0;0;0;0;2;0;1;0;1;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;boa0e436nc3u53cumlao9ulex;Batista Adélino Mendy;Batista Mendy;B. Mendy;19;Substitute;Midfielder;0;4;0;0;0;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;45rxt159xjefvxlfgeykclw8a;Isaac Romero Bernal;Isaac Romero;Isaac Romero;7;Substitute;Attacker;0;3;0;0;0;20;0;3;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0
