league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;fouls;goalAssist;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;totalSubOff;yellowCard;goals;ontargetScoringAtt;cornerTaken;totalOffside;totalSubOn;goalsConceded
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;afxjicw89683nlpms9yy5x51x;Robert Lewandowski;Robert Lewandowski;R. Lewandowski;9;Striker;Centre;9;11;0;1;0;1;66;0;3;12;9;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;awsod0zmnrukk21d4882ji7e1;Ronald Federico Araujo da Silva;Ronald Araujo;R. Araujo;4;Substitute;Defender;0;8;0;0;0;0;2;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;66psa7xh8odnlp39ue5vzpes4;Roony Bardghji;Roony Bardghji;R. Bardghji;19;Substitute;Attacker;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;4ftlhtels58lyzfluwofzwxuy;Pedro González López;Pedro González López;Pedri;8;Substitute;Midfielder;0;32;0;0;0;0;24;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Substitute;Midfielder;0;20;0;0;0;0;24;0;0;22;0;1;1;0;0;3;0;0;0;1;0;0;0;1;2;1;0;1;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;2szgrzcosfeifh664tgt3mfvt;Ferran Torres García;Ferran Torres;Ferran Torres;7;Substitute;Attacker;0;4;0;0;0;0;24;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;7udphhcokm6vralyz5gkovxsl;Mathew David Ryan;Mathew Ryan;M. Ryan;13;Goalkeeper;Centre;1;22;0;1;4;1;90;6;4;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;d34tmogp5h4rwuo3pcxtwp0fe;Manuel Sánchez de la Peña;Manu Sánchez;Manu Sánchez;23;Defender;Left;3;21;0;1;0;7;90;0;6;26;3;0;3;0;0;0;7;4;1;2;5;0;0;0;0;0;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;2y25g5wgiygxbp97r22o1a1as;Alan Agustín Matturro Romero;Alan Matturro;A. Matturro;3;Defender;Left/Centre;6;32;0;1;8;3;90;0;10;35;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;49230s4p4daocrftccqqbeqjt;Adrián de la Fuente Barquilla;Adrián de la Fuente;Adrián de la Fuente;4;Defender;Centre/Right;5;29;0;1;0;0;90;0;2;35;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;5oge5fhmna0oduqvjisoa1djp;Jeremy Isaiah Richard Toljan;Jeremy Toljan;J. Toljan;22;Defender;Right;2;16;0;1;0;1;88;0;1;23;2;0;1;0;0;0;5;3;1;0;4;1;0;0;0;0;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;a91clevckra05nq55e1ztezmd;Oriol Rey Erenas;Oriol Rey;Oriol Rey;20;Defensive Midfielder;Centre;4;20;0;1;0;0;90;0;5;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;20s72mrpp0gl3hd333zaows2c;Kareem Tunde Ruiz;Kareem Tunde;Kareem Tunde;26;Midfielder;Left;11;4;0;1;0;0;70;0;0;5;11;0;2;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;2
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;6gtfe9aysdrcht4v2rluu0ley;Carlos Álvarez Rivera;Carlos Álvarez;Carlos Álvarez;24;Midfielder;Left/Centre;10;20;0;1;0;0;84;0;0;24;10;0;3;0;0;1;0;0;3;0;0;1;0;0;1;1;1;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;6lnttemmflhxp700fr069ty0a;Jon Ander Olasagasti Imizcoz;Jon Olasagasti;Jon Olasagasti;8;Midfielder;Centre/Right;8;24;0;1;0;1;90;0;2;34;8;0;0;0;0;1;1;1;2;0;1;0;0;0;1;4;0;0;3
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;a5a9d3z93jct2dtg6ajpi26ay;Víctor García Raja;Víctor García;Víctor García;17;Midfielder;Right;7;6;0;1;0;0;45;0;1;10;7;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;0;2
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;8kj8kbwbfiqloxiilj0i00ep6;Iván Romero de Ávila Araque;Iván Romero;Iván Romero;9;Striker;Centre;9;13;0;1;0;0;70;0;0;17;9;0;1;0;0;0;1;0;2;1;1;1;0;0;0;0;0;0;2
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;cmrror5dshow00mbi6nxh1es4;Tai Abed Kassus;Tai Abed;T. Abed;55;Substitute;Attacker;0;1;0;0;0;0;20;0;0;4;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;6w641bd5laym8cnxg6mecsmqc;Francisco Cortés Gracia;Paco Cortés;Paco Cortés;27;Substitute;Attacker;0;6;0;0;0;0;45;0;1;6;0;1;0;0;1;2;0;0;0;2;0;0;0;0;0;0;1;1;1
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;bl3o0pt262qax5cwv4jeu82s4;Karl Edouard Blaise Etta Eyong;Karl Etta Eyong;K. Etta Eyong;21;Substitute;Attacker;0;1;0;0;0;0;20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;38igxi5sn8v00xtciwhqb44fe;Iker Losada Aragunde;Iker Losada;Iker Losada;18;Substitute;Attacker;0;5;0;0;0;0;6;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;a0810cmxke3zmwaqj31bo15hw;Nacho Pérez Gómez;Nacho Pérez;Nacho Pérez;29;Substitute;Defender;0;3;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
