league;season;id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
73;2526;1015287;Natan;;;;;;;;;;;;;;
73;2526;996903;Lucas Bergström;;;;;;;;;;;;;;
73;2526;875890;Chidera Ejuke;;;;;;;;;;;;;;
73;2526;910978;Daniel Vivian;;;;;;;;;;;;;;
73;2526;754710;Umar Sadiq;;;;;;;;;;;;;;
73;2526;1391752;Rodrigo Mendoza;;;;;;;;;;;;;;
73;2526;257091;Duje Ćaleta-Car;;;;;;;;;;;;;;
73;2526;138149;Odysseas Vlachodimos;;;;;;;;;;;;;;
73;2526;976374;Vladyslav Vanat;;;;;;;;;;;;;;
73;2526;1094106;Marc Pubill;;;;;;;;;;;;;;
73;2526;909119;Hugo Duro;;;;;;;;;;;;;;
73;2526;848512;Grady Diangana;;;;;;;;;;;;;;
73;2526;44864;Daley Blind;;;;;;;;;;;;;;
73;2526;791773;Álex Remiro;;;;;;;;;;;;;;
73;2526;816763;Fornals, Pablo;;;;;;;;;;;;;;
73;2526;1026015;Orri Steinn Óskarsson;;;;;;;;;;;;;;
73;2526;872919;Ruben Vargas;;;;;;;;;;;;;;
73;2526;1008037;Ilyas Chaira;;;;;;;;;;;;;;
73;2526;605672;Gorka Guruzeta;;;;;;;;;;;;;;
73;2526;1468046;Santiago Mouriño;;;;;;;;;;;;;;
73;2526;965011;Matteo Ruggeri;;;;;;;;;;;;;;
73;2526;1172477;Tani Oluwaseyi;;;;;;;;;;;;;;
73;2526;307702;Djené;;;;;;;;;;;;;;
73;2526;353250;Álvaro Odriozola;;;;;;;;;;;;;;
73;2526;604954;Borja Mayoral;;;;;;;;;;;;;;
73;2526;1067582;Boyomo, Flavien;;;;;;;;;;;;;;
73;2526;825133;Javi Galán;;;;;;;;;;;;;;
73;2526;1010656;Carlos Álvarez;;;;;;;;;;;;;;
73;2526;1066603;Luiz Júnior;;;;;;;;;;;;;;
73;2526;268903;Neal Maupay;;;;;;;;;;;;;;
73;2526;1083832;Kervin Arriaga;;;;;;;;;;;;;;
73;2526;984623;Rafa Marín;;;;;;;;;;;;;;
73;2526;1893910;Pablo García;;;;;;;;;;;;;;
73;2526;914835;Junior Firpo;;;;;;;;;;;;;;
73;2526;892235;David Carmo;;;;;;;;;;;;;;
