id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
1120504;Abdel Rahim;;;;;;;;;;;;;;
344847;Johan Mojica;;;;;;;;;;;;;;
609752;Guido Rodríguez;;;;;;;;;;;;;;
188365;Héctor Bellerín;;;;;;;;;;;;;;
859773;Óscar Mingueza;;;;;;;;;;;;;;
962029;Lucas Beltrán;;;;;;;;;;;;;;
345195;Ayoze Pérez;;;;;;;;;;;;;;
832427;Carlos Soler;;;;;;;;;;;;;;
815202;Ionuț Radu;;;;;;;;;;;;;;
949962;Ferran Jutglà;;;;;;;;;;;;;;
1012444;Alberto Moleiro;;;;;;;;;;;;;;
280979;Gonçalo Guedes;;;;;;;;;;;;;;
910026;Bryan Gil;;;;;;;;;;;;;;
827064;Arnaut Danjuma;;;;;;;;;;;;;;
966801;Oihan Sancet;;;;;;;;;;;;;;
1015287;Natan;;;;;;;;;;;;;;
996903;Lucas Bergström;;;;;;;;;;;;;;
875890;Chidera Ejuke;;;;;;;;;;;;;;
910978;Daniel Vivian;;;;;;;;;;;;;;
754710;Umar Sadiq;;;;;;;;;;;;;;
1391752;Rodrigo Mendoza;;;;;;;;;;;;;;
257091;Duje Ćaleta-Car;;;;;;;;;;;;;;
138149;Odysseas Vlachodimos;;;;;;;;;;;;;;
976374;Vladyslav Vanat;;;;;;;;;;;;;;
1094106;Marc Pubill;;;;;;;;;;;;;;
909119;Hugo Duro;;;;;;;;;;;;;;
848512;Grady Diangana;;;;;;;;;;;;;;
44864;Daley Blind;;;;;;;;;;;;;;
791773;Álex Remiro;;;;;;;;;;;;;;
816763;Fornals, Pablo;;;;;;;;;;;;;;
1026015;Orri Steinn Óskarsson;;;;;;;;;;;;;;
872919;Ruben Vargas;;;;;;;;;;;;;;
1008037;Ilyas Chaira;;;;;;;;;;;;;;
605672;Gorka Guruzeta;;;;;;;;;;;;;;
1468046;Santiago Mouriño;;;;;;;;;;;;;;
965011;Matteo Ruggeri;;;;;;;;;;;;;;
1172477;Tani Oluwaseyi;;;;;;;;;;;;;;
307702;Djené;;;;;;;;;;;;;;
353250;Álvaro Odriozola;;;;;;;;;;;;;;
604954;Borja Mayoral;;;;;;;;;;;;;;
1067582;Boyomo, Flavien;;;;;;;;;;;;;;
825133;Javi Galán;;;;;;;;;;;;;;
1010656;Carlos Álvarez;;;;;;;;;;;;;;
1066603;Luiz Júnior;;;;;;;;;;;;;;
268903;Neal Maupay;;;;;;;;;;;;;;
1083832;Kervin Arriaga;;;;;;;;;;;;;;
984623;Rafa Marín;;;;;;;;;;;;;;
1893910;Pablo García;;;;;;;;;;;;;;
914835;Junior Firpo;;;;;;;;;;;;;;
892235;David Carmo;;;;;;;;;;;;;;
973536;Martín Satriano;;;;;;;;;;;;;;
899982;Isi Palazón;;;;;;;;;;;;;;
357598;Josip Brekalo;;;;;;;;;;;;;;
788216;Pablo Maffeo;;;;;;;;;;;;;;
1186010;Valentín Gómez;;;;;;;;;;;;;;
789381;Chimy Ávila;;;;;;;;;;;;;;
856250;Ladislav Krejčí;;;;;;;;;;;;;;
960006;Lucien Agoumé;;;;;;;;;;;;;;
1392592;Roberto Fernández;;;;;;;;;;;;;;
309546;Takuma Asano;;;;;;;;;;;;;;
825754;Rafa Mir;;;;;;;;;;;;;;
879875;Facundo Garcés;;;;;;;;;;;;;;
845385;Brais Méndez;;;;;;;;;;;;;;
39182;Dani Parejo;;;;;;;;;;;;;;
1084399;Carlos Vicente;;;;;;;;;;;;;;
799054;Djibril Sow;;;;;;;;;;;;;;
164343;Paulo Gazzaniga;;;;;;;;;;;;;;
877037;Cyril Ngonge;;;;;;;;;;;;;;
1398511;Adama Boiro;;;;;;;;;;;;;;
592012;Álex Berenguer;;;;;;;;;;;;;;
900003;Jorge de Frutos;;;;;;;;;;;;;;
99519;Marc Bartra;;;;;;;;;;;;;;
32048;Cristhian Stuani;;;;;;;;;;;;;;
826948;Pepelu;;;;;;;;;;;;;;
344129;José Luis Morales;;;;;;;;;;;;;;
1173575;Jones El-Abdellaoui;;;;;;;;;;;;;;
1122610;Javier Guerra;;;;;;;;;;;;;;
1495844;Mikel Jauregizar;;;;;;;;;;;;;;
67769;Ricardo Rodríguez;;;;;;;;;;;;;;
227922;José Luis Gayà;;;;;;;;;;;;;;
974713;Luis Vázquez;;;;;;;;;;;;;;
68332;Nemanja Gudelj;;;;;;;;;;;;;;
1084081;Arnau Martínez;;;;;;;;;;;;;;
855832;Antonio Blanco;;;;;;;;;;;;;;
190405;Leander Dendoncker;;;;;;;;;;;;;;
909966;Largie Ramazani;;;;;;;;;;;;;;
966862;Ander Barrenetxea;;;;;;;;;;;;;;
1106573;Jhon Solís;;;;;;;;;;;;;;
328145;Adnan Januzaj;;;;;;;;;;;;;;
794937;Carles Aleñá;;;;;;;;;;;;;;
980383;Raúl Moro;;;;;;;;;;;;;;
1216282;Luca Koleosho;;;;;;;;;;;;;;
893642;Marash Kumbulla;;;;;;;;;;;;;;
1131909;Leo Román;;;;;;;;;;;;;;
811629;Luis Milla;;;;;;;;;;;;;;
134029;Mathew Ryan;;;;;;;;;;;;;;
831510;Veljko Birmančević;;;;;;;;;;;;;;
847128;Marc Roca;;;;;;;;;;;;;;
352544;Sheraldo Becker;;;;;;;;;;;;;;
358910;Augusto Batalla;;;;;;;;;;;;;;
158615;Matías Vecino;;;;;;;;;;;;;;
385888;Mauro Arambarri;;;;;;;;;;;;;;
138383;Denis Suárez;;;;;;;;;;;;;;
1018190;Romero, Isaac;;;;;;;;;;;;;;
826013;Abel Ruíz;;;;;;;;;;;;;;
988351;Samú Costa;;;;;;;;;;;;;;
814385;Lucas Boyé;;;;;;;;;;;;;;
